Suburb,State,Zip
AARONS PASS,NSW,2850
ABBA RIVER,WA,6280
ABBEY,WA,6280
ABBEYARD,VIC,3737
ABBEYARD,VIC,3737
ABBEYWOOD,QLD,4613
ABBEYWOOD,QLD,4613
ABBOTSBURY,NSW,2176
ABBOTSFORD,NSW,2046
ABBOTSFORD,VIC,3067
ABBOTSFORD,QLD,4670
ABBOTSHAM,TAS,7315
ABECKETT STREET,VIC,8006
ABELS BAY,TAS,7112
ABERCORN,QLD,4627
ABERCROMBIE,NSW,2795
ABERCROMBIE RIVER,NSW,2795
ABERCROMBIE RIVER,NSW,2795
ABERDARE,NSW,2325
ABERDEEN,NSW,2336
ABERDEEN,TAS,7310
ABERFELDIE,VIC,3040
ABERFELDY,VIC,3825
ABERFOYLE,NSW,2350
ABERFOYLE PARK,SA,5159
ABERFOYLE PARK,SA,5159
ABERGLASSLYN,NSW,2320
ABERGOWRIE,QLD,4850
ABERMAIN,NSW,2326
ABERNETHY,NSW,2325
ABINGDON DOWNS,QLD,4892
ABINGTON,NSW,2350
ABINGTON,QLD,4660
ABMINGA STATION,SA,5440
ACACIA CREEK,NSW,2476
ACACIA GARDENS,NSW,2763
ACACIA HILLS,NT,822
ACACIA HILLS,TAS,7306
ACACIA RIDGE,QLD,4110
ACHERON,VIC,3714
ACLAND,QLD,4401
ACTON,ACT,2601
ACTON,TAS,7320
ACTON PARK,WA,6280
ACTON PARK,TAS,7170
ACTON PARK,WA,6280
ACTON PARK,TAS,7170
ADA,VIC,3833
ADAMINABY,NSW,2629
ADAMINABY,NSW,2629
ADAMS ESTATE,VIC,3984
ADAMS ESTATE,VIC,3984
ADAMSTOWN,NSW,2289
ADAMSTOWN,NSW,2289
ADAMSTOWN HEIGHTS,NSW,2289
ADAMSTOWN HEIGHTS,NSW,2289
ADAMSTOWN HEIGHTS,NSW,2289
ADAMSVALE,WA,6375
ADAMSVALE,WA,6375
ADARE,QLD,4343
ADARE,QLD,4343
ADAVALE,QLD,4474
ADAVALE,QLD,4474
ADDINGTON,VIC,3352
ADELAIDE,SA,5000
ADELAIDE,SA,5001
ADELAIDE,SA,5810
ADELAIDE,SA,5800
ADELAIDE,SA,5800
ADELAIDE AIRPORT,SA,5950
ADELAIDE AIRPORT,SA,5950
ADELAIDE BC,SA,5000
ADELAIDE BC,SA,5000
ADELAIDE LEAD,VIC,3465
ADELAIDE LEAD,VIC,3465
