postcode,suburb,state,category
2601,ACTON,ACT,Delivery Area
2602,AINSLIE,ACT,Delivery Area
2914,AMAROO,ACT,Delivery Area
2614,ARANDA,ACT,Delivery Area
0200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,Post Office Boxes
2906,BANKS,ACT,Delivery Area
2600,BARTON,ACT,Delivery Area
2620,BEARD,ACT,Delivery Area
2616,BELCONNEN,ACT,Post Office Boxes
2617,BELCONNEN,ACT,Delivery Area
2617,BELCONNEN DC,ACT,Delivery Area
2914,BONNER,ACT,Delivery Area
2905,BONYTHON,ACT,Delivery Area
2620,BOOTH,ACT,Delivery Area
2612,BRADDON,ACT,Delivery Area
2617,BRUCE,ACT,Delivery Area
2905,CALWELL,ACT,Delivery Area
2612,CAMPBELL,ACT,Delivery Area
2600,CANBERRA,ACT,Delivery Area
2601,CANBERRA,ACT,Delivery Area
2609,CANBERRA AIRPORT,ACT,Delivery Area
2610,CANBERRA BC,ACT,Post Office Boxes
2610,CANBERRA MC,ACT,Post Office Boxes
2600,CAPITAL HILL,ACT,Delivery Area
2913,CASEY,ACT,Delivery Area
2604,CAUSEWAY,ACT,Delivery Area
2611,CHAPMAN,ACT,Delivery Area
2615,CHARNWOOD,ACT,Delivery Area
2606,CHIFLEY,ACT,Delivery Area
2905,CHISHOLM,ACT,Delivery Area
2601,CITY,ACT,Delivery Area
2608,CIVIC SQUARE,ACT,Post Office Boxes
2906,CONDER,ACT,Delivery Area
2614,COOK,ACT,Delivery Area
2611,COOMBS,ACT,Delivery Area
2611,COREE,ACT,Delivery Area
2911,CRACE,ACT,Delivery Area
2605,CURTIN,ACT,Delivery Area
2600,DEAKIN,ACT,Delivery Area
2600,DEAKIN WEST,ACT,Delivery Area
2611,DENMAN PROSPECT,ACT,Delivery Area
2602,DICKSON,ACT,Delivery Area
2602,DOWNER,ACT,Delivery Area
2611,DUFFY,ACT,Delivery Area
2615,DUNLOP,ACT,Delivery Area
2903,ERINDALE CENTRE,ACT,Delivery Area
2617,EVATT,ACT,Delivery Area
2904,FADDEN,ACT,Delivery Area
2607,FARRER,ACT,Delivery Area
2611,FISHER,ACT,Delivery Area
2615,FLOREY,ACT,Delivery Area
2615,FLYNN,ACT,Delivery Area
2914,FORDE,ACT,Delivery Area
2603,FORREST,ACT,Delivery Area
2913,FRANKLIN,ACT,Delivery Area
2615,FRASER,ACT,Delivery Area
2609,FYSHWICK,ACT,Delivery Area
2605,GARRAN,ACT,Delivery Area
2905,GILMORE,ACT,Delivery Area
2617,GIRALANG,ACT,Delivery Area
2906,GORDON,ACT,Delivery Area
2904,GOWRIE,ACT,Delivery Area
2900,GREENWAY,ACT,Delivery Area
2603,GRIFFITH,ACT,Delivery Area
2912,GUNGAHLIN,ACT,Delivery Area
2602,HACKETT,ACT,Delivery Area
2618,HALL,ACT,Delivery Area
2600,HARMAN,ACT,Delivery Area
2914,HARRISON,ACT,Delivery Area
2614,HAWKER,ACT,Delivery Area
2615,HIGGINS,ACT,Delivery Area
2540,HMAS CRESWELL,ACT,Delivery Area
2600,HMAS HARMAN,ACT,Delivery Area
2611,HOLDER,ACT,Delivery Area
2615,HOLT,ACT,Delivery Area
2605,HUGHES,ACT,Delivery Area
2620,HUME,ACT,Delivery Area
2607,ISAACS,ACT,Delivery Area
2905,ISABELLA PLAINS,ACT,Delivery Area
2914,JACKA,ACT,Delivery Area
2614,JAMISON CENTRE,ACT,Delivery Area
2540,JERVIS BAY,ACT,Delivery Area
2617,KALEEN,ACT,Delivery Area
2902,KAMBAH,ACT,Delivery Area
2902,KAMBAH VILLAGE,ACT,Delivery Area
2911,KENNY,ACT,Delivery Area
2604,KINGSTON,ACT,Delivery Area
2615,KIPPAX,ACT,Delivery Area
2620,KOWEN,ACT,Delivery Area
2615,LATHAM,ACT,Delivery Area
2617,LAWSON,ACT,Delivery Area
2602,LYNEHAM,ACT,Delivery Area
2606,LYONS,ACT,Delivery Area
2904,MACARTHUR,ACT,Delivery Area
2615,MACGREGOR,ACT,Delivery Area
2615,MACNAMARA,ACT,Delivery Area
2614,MACQUARIE,ACT,Delivery Area
2609,MAJURA,ACT,Delivery Area
2603,MANUKA,ACT,Delivery Area
2607,MAWSON,ACT,Delivery Area
2617,MCKELLAR,ACT,Delivery Area
2615,MELBA,ACT,Delivery Area
2911,MITCHELL,ACT,Delivery Area
2611,MOLONGLO,ACT,Delivery Area
2904,MONASH,ACT,Delivery Area
2914,MONCRIEFF,ACT,Delivery Area
2604,NARRABUNDAH,ACT,Delivery Area
2913,NGUNNAWAL,ACT,Delivery Area
2913,NICHOLLS,ACT,Delivery Area
2620,OAKS ESTATE,ACT,Delivery Area
2903,OXLEY,ACT,Delivery Area
2620,PADDYS RIVER,ACT,Delivery Area
2614,PAGE,ACT,Delivery Area
2913,PALMERSTON,ACT,Delivery Area
2600,PARKES,ACT,Delivery Area
2607,PEARCE,ACT,Delivery Area
2606,PHILLIP,ACT,Delivery Area
2609,PIALLIGO,ACT,Delivery Area
2603,RED HILL,ACT,Delivery Area
2612,REID,ACT,Delivery Area
2905,RICHARDSON,ACT,Delivery Area
2611,RIVETT,ACT,Delivery Area
2600,RUSSELL,ACT,Delivery Area
2614,SCULLIN,ACT,Delivery Area
2615,SPENCE,ACT,Delivery Area
2611,STIRLING,ACT,Delivery Area
2615,STRATHNAIRN,ACT,Delivery Area
2611,STROMLO,ACT,Delivery Area
2609,SYMONSTON,ACT,Delivery Area
2913,TAYLOR,ACT,Delivery Area
2620,TENNENT,ACT,Delivery Area
2620,THARWA,ACT,Delivery Area
2905,THEODORE,ACT,Delivery Area
2914,THROSBY,ACT,Delivery Area
2607,TORRENS,ACT,Delivery Area
2901,TUGGERANONG DC,ACT,Post Office Boxes
2612,TURNER,ACT,Delivery Area
2617,UNIVERSITY OF CANBERRA,ACT,Delivery Area
2611,URIARRA VILLAGE,ACT,Delivery Area
2903,WANNIASSA,ACT,Delivery Area
2611,WARAMANGA,ACT,Delivery Area
2602,WATSON,ACT,Delivery Area
2614,WEETANGERA,ACT,Delivery Area
2611,WESTON,ACT,Delivery Area
2611,WESTON CREEK,ACT,Delivery Area
2611,WHITLAM,ACT,Delivery Area
2620,WILLIAMSDALE,ACT,Delivery Area
2606,WODEN,ACT,Delivery Area
2540,WRECK BAY,ACT,Delivery Area
2611,WRIGHT,ACT,Delivery Area
2600,YARRALUMLA,ACT,Delivery Area
2850,AARONS PASS,NSW,Delivery Area
2176,ABBOTSBURY,NSW,Delivery Area
2046,ABBOTSFORD,NSW,Delivery Area
2795,ABERCROMBIE,NSW,Delivery Area
2795,ABERCROMBIE RIVER,NSW,Delivery Area
2325,ABERDARE,NSW,Delivery Area
2336,ABERDEEN,NSW,Delivery Area
2350,ABERFOYLE,NSW,Delivery Area
2320,ABERGLASSLYN,NSW,Delivery Area
2326,ABERMAIN,NSW,Delivery Area
2325,ABERNETHY,NSW,Delivery Area
2350,ABINGTON,NSW,Delivery Area
2476,ACACIA CREEK,NSW,Delivery Area
2763,ACACIA GARDENS,NSW,Delivery Area
2629,ADAMINABY,NSW,Delivery Area
2289,ADAMSTOWN,NSW,Delivery Area
2289,ADAMSTOWN HEIGHTS,NSW,Delivery Area
2729,ADELONG,NSW,Delivery Area
2727,ADJUNGBILLY,NSW,Delivery Area
2474,AFTERLEE,NSW,Delivery Area
2753,AGNES BANKS,NSW,Delivery Area
2560,AIRDS,NSW,Delivery Area
2546,AKOLELE,NSW,Delivery Area
2873,ALBERT,NSW,Delivery Area
2527,ALBION PARK,NSW,Delivery Area
2527,ALBION PARK RAIL,NSW,Delivery Area
2640,ALBURY,NSW,Delivery Area
2440,ALDAVILLA,NSW,Delivery Area
2870,ALECTOWN,NSW,Delivery Area
1435,ALEXANDRIA,NSW,Post Office Boxes
2015,ALEXANDRIA,NSW,Delivery Area
2234,ALFORDS POINT,NSW,Delivery Area
2650,ALFREDTOWN,NSW,Delivery Area
2469,ALICE,NSW,Delivery Area
2259,ALISON,NSW,Delivery Area
2420,ALISON,NSW,Delivery Area
2100,ALLAMBIE HEIGHTS,NSW,Delivery Area
2320,ALLANDALE,NSW,Delivery Area
2218,ALLAWAH,NSW,Delivery Area
2671,ALLEENA,NSW,Delivery Area
2441,ALLGOMERA,NSW,Delivery Area
2425,ALLWORTH,NSW,Delivery Area
2311,ALLYNBROOK,NSW,Delivery Area
2659,ALMA PARK,NSW,Delivery Area
2575,ALPINE,NSW,Delivery Area
2477,ALSTONVALE,NSW,Delivery Area
2477,ALSTONVILLE,NSW,Delivery Area
2460,ALUMY CREEK,NSW,Delivery Area
2866,AMAROO,NSW,Delivery Area
2560,AMBARVALE,NSW,Delivery Area
4380,AMOSFIELD,NSW,Delivery Area
2648,ANABRANCH NORTH,NSW,Delivery Area
2648,ANABRANCH SOUTH,NSW,Delivery Area
2320,ANAMBAH,NSW,Delivery Area
2631,ANDO,NSW,Delivery Area
2621,ANEMBO,NSW,Delivery Area
2550,ANGLEDALE,NSW,Delivery Area
2834,ANGLEDOOL,NSW,Delivery Area
2629,ANGLERS REACH,NSW,Delivery Area
2464,ANGOURIE,NSW,Delivery Area
2765,ANGUS,NSW,Delivery Area
2316,ANNA BAY,NSW,Delivery Area
2038,ANNANDALE,NSW,Delivery Area
2156,ANNANGROVE,NSW,Delivery Area
2560,APPIN,NSW,Delivery Area
2850,APPLE TREE FLAT,NSW,Delivery Area
2340,APPLEBY,NSW,Delivery Area
2330,APPLETREE FLAT,NSW,Delivery Area
2820,APSLEY,NSW,Delivery Area
2630,ARABLE,NSW,Delivery Area
2431,ARAKOON,NSW,Delivery Area
2622,ARALUEN,NSW,Delivery Area
2714,ARATULA,NSW,Delivery Area
2159,ARCADIA,NSW,Delivery Area
2283,ARCADIA VALE,NSW,Delivery Area
2338,ARDGLEN,NSW,Delivery Area
2358,ARDING,NSW,Delivery Area
2665,ARDLETHAN,NSW,Delivery Area
2720,ARGALONG,NSW,Delivery Area
2284,ARGENTON,NSW,Delivery Area
2449,ARGENTS HILL,NSW,Delivery Area
2707,ARGOON,NSW,Delivery Area
2350,ARGYLE,NSW,Delivery Area
2665,ARIAH PARK,NSW,Delivery Area
2795,ARKELL,NSW,Delivery Area
2795,ARKSTONE,NSW,Delivery Area
2828,ARMATREE,NSW,Delivery Area
2350,ARMIDALE,NSW,Delivery Area
2350,ARMIDALE DC,NSW,Delivery Area
2205,ARNCLIFFE,NSW,Delivery Area
2148,ARNDELL PARK,NSW,Delivery Area
2456,ARRAWARRA,NSW,Delivery Area
2456,ARRAWARRA HEADLAND,NSW,Delivery Area
1570,ARTARMON,NSW,Post Office Boxes
2064,ARTARMON,NSW,Delivery Area
2820,ARTHURVILLE,NSW,Delivery Area
2715,ARUMPO,NSW,Delivery Area
2193,ASHBURY,NSW,Delivery Area
2463,ASHBY,NSW,Delivery Area
2463,ASHBY HEIGHTS,NSW,Delivery Area
2463,ASHBY ISLAND,NSW,Delivery Area
2168,ASHCROFT,NSW,Delivery Area
1800,ASHFIELD,NSW,Post Office Boxes
2131,ASHFIELD,NSW,Delivery Area
2361,ASHFORD,NSW,Delivery Area
2400,ASHLEY,NSW,Delivery Area
2650,ASHMONT,NSW,Delivery Area
2323,ASHTONFIELD,NSW,Delivery Area
2077,ASQUITH,NSW,Delivery Area
2361,ATHOLWOOD,NSW,Delivery Area
2345,ATTUNGA,NSW,Delivery Area
1835,AUBURN,NSW,Post Office Boxes
2144,AUBURN,NSW,Delivery Area
2360,AUBURN VALE,NSW,Delivery Area
2232,AUDLEY,NSW,Delivery Area
2515,AUSTINMER,NSW,Delivery Area
2179,AUSTRAL,NSW,Delivery Area
2440,AUSTRAL EDEN,NSW,Delivery Area
1215,AUSTRALIA SQUARE,NSW,Post Office Boxes
2890,AUSTRALIAN DEFENCE FORCES,NSW,Delivery Area
2107,AVALON BEACH,NSW,Delivery Area
2850,AVISFORD,NSW,Delivery Area
2577,AVOCA,NSW,Delivery Area
2251,AVOCA BEACH,NSW,Delivery Area
2574,AVON,NSW,Delivery Area
2530,AVONDALE,NSW,Delivery Area
2628,AVONSIDE,NSW,Delivery Area
2283,AWABA,NSW,Delivery Area
2575,AYLMERTON,NSW,Delivery Area
