Postcode,Suburb,State,Lat,Lon,Category
2601,ACTON,ACT,-35.280,149.110,Delivery Area
2602,AINSLIE,ACT,-35.260,149.150,Delivery Area
2914,AMAROO,ACT,-35.170,149.130,Delivery Area
2614,ARANDA,ACT,-35.260,149.080,Delivery Area
0200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,-35.280,149.120,Post Office Boxes
2906,BANKS,ACT,-35.520,149.080,Delivery Area
2600,BARTON,ACT,-35.310,149.140,Delivery Area
2620,BEARD,ACT,-35.580,149.230,Delivery Area
2616,BELCONNEN,ACT,-35.250,149.070,Post Office Boxes
2617,BELCONNEN,ACT,-35.240,149.070,Delivery Area
2617,BELCONNEN DC,ACT,-35.240,149.070,Delivery Area
2914,BONNER,ACT,-35.170,149.130,Delivery Area
2905,BONYTHON,ACT,-35.430,149.080,Delivery Area
2620,BOOTH,ACT,,,Delivery Area
2612,BRADDON,ACT,-35.270,149.130,Delivery Area
2617,BRUCE,ACT,-35.240,149.070,Delivery Area
2905,CALWELL,ACT,-35.430,149.080,Delivery Area
2612,CAMPBELL,ACT,-35.270,149.130,Delivery Area
2600,CANBERRA,ACT,-35.310,149.140,Delivery Area
2601,CANBERRA,ACT,-35.280,149.110,Delivery Area
2609,CANBERRA AIRPORT,ACT,,,Delivery Area
2610,CANBERRA BC,ACT,0.000,0.000,Post Office Boxes
2610,CANBERRA MC,ACT,0.000,0.000,Post Office Boxes
2600,CAPITAL HILL,ACT,-35.310,149.140,Delivery Area
2913,CASEY,ACT,-35.200,149.130,Delivery Area
2604,CAUSEWAY,ACT,-35.320,149.150,Delivery Area
2611,CHAPMAN,ACT,-35.560,148.620,Delivery Area
2615,CHARNWOOD,ACT,-35.200,149.030,Delivery Area
2606,CHIFLEY,ACT,-35.350,149.080,Delivery Area
2905,CHISHOLM,ACT,-35.430,149.080,Delivery Area
2601,CITY,ACT,-35.280,149.110,Delivery Area
2608,CIVIC SQUARE,ACT,-35.280,149.130,Post Office Boxes
2906,CONDER,ACT,-35.520,149.080,Delivery Area
2614,COOK,ACT,-35.260,149.080,Delivery Area
2611,COOMBS,ACT,,,Delivery Area
2611,COREE,ACT,,,Delivery Area
2911,CRACE,ACT,-35.220,149.120,Delivery Area
2605,CURTIN,ACT,-35.320,149.080,Delivery Area
2600,DEAKIN,ACT,-35.310,149.140,Delivery Area
2600,DEAKIN WEST,ACT,-35.310,149.140,Delivery Area
2611,DENMAN PROSPECT,ACT,,,Delivery Area
2602,DICKSON,ACT,-35.260,149.150,Delivery Area
2602,DOWNER,ACT,-35.260,149.150,Delivery Area
2611,DUFFY,ACT,-35.560,148.620,Delivery Area
2615,DUNLOP,ACT,-35.200,149.030,Delivery Area
2903,ERINDALE CENTRE,ACT,-35.400,149.100,Delivery Area
2617,EVATT,ACT,-35.240,149.070,Delivery Area
2904,FADDEN,ACT,-35.400,149.120,Delivery Area
2607,FARRER,ACT,-35.380,149.100,Delivery Area
2611,FISHER,ACT,-35.560,148.620,Delivery Area
2615,FLOREY,ACT,-35.200,149.030,Delivery Area
2615,FLYNN,ACT,-35.200,149.030,Delivery Area
2914,FORDE,ACT,-35.170,149.130,Delivery Area
2603,FORREST,ACT,-35.320,149.120,Delivery Area
2913,FRANKLIN,ACT,-35.200,149.130,Delivery Area
2615,FRASER,ACT,-35.200,149.030,Delivery Area
2609,FYSHWICK,ACT,-35.300,149.190,Delivery Area
2605,GARRAN,ACT,-35.320,149.080,Delivery Area
2905,GILMORE,ACT,-35.430,149.080,Delivery Area
2617,GIRALANG,ACT,-35.240,149.070,Delivery Area
2906,GORDON,ACT,-35.520,149.080,Delivery Area
2904,GOWRIE,ACT,-35.400,149.120,Delivery Area
2900,GREENWAY,ACT,-35.420,149.070,Delivery Area
2603,GRIFFITH,ACT,-35.320,149.120,Delivery Area
2912,GUNGAHLIN,ACT,-35.520,149.080,Delivery Area
2602,HACKETT,ACT,-35.260,149.150,Delivery Area
2618,HALL,ACT,-35.520,149.080,Delivery Area
2600,HARMAN,ACT,-35.310,149.140,Delivery Area
2914,HARRISON,ACT,-35.170,149.130,Delivery Area
2614,HAWKER,ACT,-35.260,149.080,Delivery Area
2615,HIGGINS,ACT,-35.200,149.030,Delivery Area
2540,HMAS CRESWELL,ACT,-34.890,150.530,Delivery Area
2600,HMAS HARMAN,ACT,-35.310,149.140,Delivery Area
2611,HOLDER,ACT,-35.560,148.620,Delivery Area
2615,HOLT,ACT,-35.200,149.030,Delivery Area
2605,HUGHES,ACT,-35.320,149.080,Delivery Area
2620,HUME,ACT,-35.580,149.230,Delivery Area
2607,ISAACS,ACT,-35.380,149.100,Delivery Area
2905,ISABELLA PLAINS,ACT,-35.430,149.080,Delivery Area
2914,JACKA,ACT,,,Delivery Area
2614,JAMISON CENTRE,ACT,-35.260,149.080,Delivery Area
2540,JERVIS BAY,ACT,-34.890,150.530,Delivery Area
2617,KALEEN,ACT,-35.240,149.070,Delivery Area
2902,KAMBAH,ACT,-35.380,149.050,Delivery Area
2902,KAMBAH VILLAGE,ACT,-35.380,149.050,Delivery Area
2911,KENNY,ACT,,,Delivery Area
2604,KINGSTON,ACT,-35.320,149.150,Delivery Area
2615,KIPPAX,ACT,-35.200,149.030,Delivery Area
2620,KOWEN,ACT,,,Delivery Area
2615,LATHAM,ACT,-35.200,149.030,Delivery Area
2617,LAWSON,ACT,-35.240,149.070,Delivery Area
2602,LYNEHAM,ACT,-35.260,149.150,Delivery Area
2606,LYONS,ACT,-35.350,149.080,Delivery Area
2904,MACARTHUR,ACT,-35.400,149.120,Delivery Area
2615,MACGREGOR,ACT,-35.200,149.030,Delivery Area
2615,MACNAMARA,ACT,,,Delivery Area
2614,MACQUARIE,ACT,-35.260,149.080,Delivery Area
2609,MAJURA,ACT,-35.300,149.190,Delivery Area
2603,MANUKA,ACT,-35.320,149.120,Delivery Area
2607,MAWSON,ACT,-35.380,149.100,Delivery Area
2617,MCKELLAR,ACT,-35.240,149.070,Delivery Area
2615,MELBA,ACT,-35.200,149.030,Delivery Area
2911,MITCHELL,ACT,-35.220,149.120,Delivery Area
2611,MOLONGLO,ACT,,,Delivery Area
2904,MONASH,ACT,-35.400,149.120,Delivery Area
2914,MONCRIEFF,ACT,-35.170,149.130,Delivery Area
2604,NARRABUNDAH,ACT,-35.320,149.150,Delivery Area
2913,NGUNNAWAL,ACT,-35.200,149.130,Delivery Area
2913,NICHOLLS,ACT,-35.200,149.130,Delivery Area
2620,OAKS ESTATE,ACT,-35.580,149.230,Delivery Area
2903,OXLEY,ACT,-35.400,149.100,Delivery Area
2620,PADDYS RIVER,ACT,,,Delivery Area
2614,PAGE,ACT,-35.260,149.080,Delivery Area
2913,PALMERSTON,ACT,-35.200,149.130,Delivery Area
2600,PARKES,ACT,-35.310,149.140,Delivery Area
2607,PEARCE,ACT,-35.380,149.100,Delivery Area
2606,PHILLIP,ACT,-35.350,149.080,Delivery Area
2609,PIALLIGO,ACT,-35.300,149.190,Delivery Area
2603,RED HILL,ACT,-35.320,149.120,Delivery Area
2612,REID,ACT,-35.270,149.130,Delivery Area
2905,RICHARDSON,ACT,-35.430,149.080,Delivery Area
2611,RIVETT,ACT,-35.560,148.620,Delivery Area
2600,RUSSELL,ACT,-35.310,149.140,Delivery Area
2614,SCULLIN,ACT,-35.260,149.080,Delivery Area
2615,SPENCE,ACT,-35.200,149.030,Delivery Area
2611,STIRLING,ACT,-35.560,148.620,Delivery Area
2615,STRATHNAIRN,ACT,,,Delivery Area
2611,STROMLO,ACT,,,Delivery Area
2609,SYMONSTON,ACT,-35.300,149.190,Delivery Area
2913,TAYLOR,ACT,-35.200,149.130,Delivery Area
2620,TENNENT,ACT,,,Delivery Area
2620,THARWA,ACT,-35.580,149.230,Delivery Area
2905,THEODORE,ACT,-35.430,149.080,Delivery Area
2914,THROSBY,ACT,,,Delivery Area
2607,TORRENS,ACT,-35.380,149.100,Delivery Area
2901,TUGGERANONG DC,ACT,0.000,0.000,Post Office Boxes
2612,TURNER,ACT,-35.270,149.130,Delivery Area
2617,UNIVERSITY OF CANBERRA,ACT,-35.240,149.070,Delivery Area
2611,URIARRA VILLAGE,ACT,,,Delivery Area
2903,WANNIASSA,ACT,-35.400,149.100,Delivery Area
2611,WARAMANGA,ACT,-35.560,148.620,Delivery Area
2602,WATSON,ACT,-35.260,149.150,Delivery Area
2614,WEETANGERA,ACT,-35.260,149.080,Delivery Area
2611,WESTON,ACT,-35.560,148.620,Delivery Area
2611,WESTON CREEK,ACT,-35.560,148.620,Delivery Area
2611,WHITLAM,ACT,,,Delivery Area
2620,WILLIAMSDALE,ACT,-35.580,149.230,Delivery Area
2606,WODEN,ACT,-35.350,149.080,Delivery Area
2540,WRECK BAY,ACT,,,Delivery Area
2611,WRIGHT,ACT,,,Delivery Area
2600,YARRALUMLA,ACT,-35.310,149.140,Delivery Area
2850,AARONS PASS,NSW,-32.860,149.800,Delivery Area
2176,ABBOTSBURY,NSW,-33.880,150.870,Delivery Area
2046,ABBOTSFORD,NSW,-33.850,151.130,Delivery Area
2795,ABERCROMBIE,NSW,-33.910,149.330,Delivery Area
2795,ABERCROMBIE RIVER,NSW,-33.910,149.330,Delivery Area
2325,ABERDARE,NSW,-32.840,151.380,Delivery Area
2336,ABERDEEN,NSW,-32.160,150.890,Delivery Area
2350,ABERFOYLE,NSW,-30.240,152.010,Delivery Area
2320,ABERGLASSLYN,NSW,-32.690,151.530,Delivery Area
2326,ABERMAIN,NSW,-32.810,151.430,Delivery Area
2325,ABERNETHY,NSW,-32.840,151.380,Delivery Area
2350,ABINGTON,NSW,-30.240,152.010,Delivery Area
2476,ACACIA CREEK,NSW,,,Delivery Area
2763,ACACIA GARDENS,NSW,-33.730,150.910,Delivery Area
2629,ADAMINABY,NSW,-36.000,148.770,Delivery Area
2289,ADAMSTOWN,NSW,-32.930,151.730,Delivery Area
2289,ADAMSTOWN HEIGHTS,NSW,-32.930,151.730,Delivery Area
2729,ADELONG,NSW,-35.310,148.060,Delivery Area
2727,ADJUNGBILLY,NSW,-35.080,148.410,Delivery Area
2474,AFTERLEE,NSW,-28.590,152.830,Delivery Area
2753,AGNES BANKS,NSW,-33.620,150.710,Delivery Area
2560,AIRDS,NSW,-34.080,150.830,Delivery Area
2546,AKOLELE,NSW,-36.360,150.080,Delivery Area
2873,ALBERT,NSW,-32.420,147.510,Delivery Area
2527,ALBION PARK,NSW,-34.570,150.780,Delivery Area
2527,ALBION PARK RAIL,NSW,-34.570,150.780,Delivery Area
2640,ALBURY,NSW,-36.080,146.910,Delivery Area
2440,ALDAVILLA,NSW,-31.060,152.770,Delivery Area
2870,ALECTOWN,NSW,-32.930,148.260,Delivery Area
1435,ALEXANDRIA,NSW,-33.710,151.110,Post Office Boxes
2015,ALEXANDRIA,NSW,-33.900,151.200,Delivery Area
2234,ALFORDS POINT,NSW,-33.990,151.020,Delivery Area
2650,ALFREDTOWN,NSW,-35.160,147.510,Delivery Area
2469,ALICE,NSW,-29.340,153.000,Delivery Area
2259,ALISON,NSW,-33.270,151.400,Delivery Area
2420,ALISON,NSW,-32.430,151.770,Delivery Area
2100,ALLAMBIE HEIGHTS,NSW,-33.770,151.250,Delivery Area
2320,ALLANDALE,NSW,-32.690,151.530,Delivery Area
2218,ALLAWAH,NSW,-33.970,151.110,Delivery Area
2671,ALLEENA,NSW,-34.110,147.140,Delivery Area
2441,ALLGOMERA,NSW,-30.820,152.830,Delivery Area
2425,ALLWORTH,NSW,-32.540,151.960,Delivery Area
2311,ALLYNBROOK,NSW,-32.360,151.540,Delivery Area
2659,ALMA PARK,NSW,-35.600,146.790,Delivery Area
2575,ALPINE,NSW,-34.410,150.520,Delivery Area
2477,ALSTONVALE,NSW,-28.810,153.450,Delivery Area
2477,ALSTONVILLE,NSW,-28.810,153.450,Delivery Area
2460,ALUMY CREEK,NSW,-29.050,152.590,Delivery Area
