Postcode,Suburb,State,Lat,Lon,Category
2000,BARANGAROO,NSW,-33.860,151.210,Delivery Area
2000,DAWES POINT,NSW,-33.860,151.210,Delivery Area
2000,HAYMARKET,NSW,-33.860,151.210,Delivery Area
2000,MILLERS POINT,NSW,-33.860,151.210,Delivery Area
2000,PARLIAMENT HOUSE,NSW,-33.860,151.210,Delivery Area
2000,SYDNEY,NSW,-33.860,151.210,Delivery Area
2000,SYDNEY SOUTH,NSW,-33.860,151.210,Delivery Area
2000,THE ROCKS,NSW,-33.860,151.210,Delivery Area
2001,SYDNEY,NSW,-33.790,151.270,Post Office Boxes
2002,WORLD SQUARE,NSW,-35.970,146.410,Post Office Boxes
2004,EASTERN SUBURBS MC,NSW,0.000,0.000,Post Office Boxes
2006,THE UNIVERSITY OF SYDNEY,NSW,-33.890,151.190,Post Office Boxes
2007,BROADWAY,NSW,-33.880,151.200,Delivery Area
2007,ULTIMO,NSW,-33.880,151.200,Delivery Area
2008,CHIPPENDALE,NSW,-33.890,151.200,Delivery Area
2008,DARLINGTON,NSW,-33.890,151.200,Delivery Area
2009,PYRMONT,NSW,-33.870,151.190,Delivery Area
2010,DARLINGHURST,NSW,-33.880,151.220,Delivery Area
2010,SURRY HILLS,NSW,-33.880,151.220,Delivery Area
2011,ELIZABETH BAY,NSW,-33.870,151.230,Delivery Area
2011,POTTS POINT,NSW,-33.870,151.230,Delivery Area
2011,RUSHCUTTERS BAY,NSW,-33.870,151.230,Delivery Area
2011,WOOLLOOMOOLOO,NSW,-33.870,151.230,Delivery Area
2012,STRAWBERRY HILLS,NSW,-33.730,150.930,Post Office Boxes
2015,ALEXANDRIA,NSW,-33.900,151.200,Delivery Area
2015,BEACONSFIELD,NSW,-33.900,151.200,Delivery Area
2015,EVELEIGH,NSW,-33.900,151.200,Delivery Area
2016,REDFERN,NSW,-33.890,151.200,Delivery Area
2017,WATERLOO,NSW,-33.900,151.210,Delivery Area
2017,WATERLOO DC,NSW,,,Delivery Area
2017,ZETLAND,NSW,-33.900,151.210,Delivery Area
2018,EASTLAKES,NSW,-33.930,151.210,Delivery Area
2018,ROSEBERY,NSW,-33.930,151.210,Delivery Area
2019,BANKSMEADOW,NSW,-33.960,151.210,Delivery Area
2019,BOTANY,NSW,-33.960,151.210,Delivery Area
2020,MASCOT,NSW,-33.930,151.190,Delivery Area
2020,SYDNEY DOMESTIC AIRPORT,NSW,-33.930,151.190,Delivery Area
2020,SYDNEY INTERNATIONAL AIRPORT,NSW,-33.930,151.190,Delivery Area
2021,CENTENNIAL PARK,NSW,-33.890,151.220,Delivery Area
2021,MOORE PARK,NSW,-33.890,151.220,Delivery Area
2021,PADDINGTON,NSW,-33.890,151.220,Delivery Area
2022,BONDI JUNCTION,NSW,-33.890,151.250,Delivery Area
2022,QUEENS PARK,NSW,-33.890,151.250,Delivery Area
2023,BELLEVUE HILL,NSW,-33.890,151.260,Delivery Area
2024,BRONTE,NSW,-33.900,151.260,Delivery Area
2024,WAVERLEY,NSW,-33.900,151.260,Delivery Area
2025,WOOLLAHRA,NSW,-33.890,151.240,Delivery Area
2026,BONDI,NSW,-33.890,151.260,Delivery Area
2026,BONDI BEACH,NSW,-33.890,151.260,Delivery Area
2026,NORTH BONDI,NSW,-33.890,151.260,Delivery Area
2026,TAMARAMA,NSW,-33.890,151.260,Delivery Area
2027,DARLING POINT,NSW,-33.870,151.240,Delivery Area
2027,EDGECLIFF,NSW,-33.870,151.240,Delivery Area
2027,HMAS RUSHCUTTERS,NSW,-33.870,151.240,Delivery Area
2027,POINT PIPER,NSW,-33.870,151.240,Delivery Area
2028,DOUBLE BAY,NSW,-33.880,151.240,Delivery Area
2029,ROSE BAY,NSW,-33.870,151.280,Delivery Area
2030,DOVER HEIGHTS,NSW,-33.870,151.280,Delivery Area
2030,HMAS WATSON,NSW,-33.870,151.280,Delivery Area
2030,ROSE BAY NORTH,NSW,-33.870,151.280,Delivery Area
2030,VAUCLUSE,NSW,-33.870,151.280,Delivery Area
2030,WATSONS BAY,NSW,-33.870,151.280,Delivery Area
2031,CLOVELLY,NSW,-33.910,151.260,Delivery Area
2031,CLOVELLY WEST,NSW,-33.910,151.260,Delivery Area
2031,RANDWICK,NSW,-33.910,151.260,Delivery Area
2031,RANDWICK DC,NSW,,,Delivery Area
2031,ST PAULS,NSW,-33.910,151.260,Delivery Area
2032,DACEYVILLE,NSW,-33.930,151.230,Delivery Area
2032,KINGSFORD,NSW,-33.930,151.230,Delivery Area
