Postcode,Suburb,State,Lat,Lon,Category
7315,ABBOTSHAM,TAS,-41.210,146.180,Delivery Area
7112,ABELS BAY,TAS,-43.230,147.100,Delivery Area
7310,ABERDEEN,TAS,-41.240,146.320,Delivery Area
7306,ACACIA HILLS,TAS,-41.280,146.320,Delivery Area
7320,ACTON,TAS,-41.070,145.890,Delivery Area
7170,ACTON PARK,TAS,-42.870,147.470,Delivery Area
7150,ADVENTURE BAY,TAS,-43.360,147.330,Delivery Area
7216,AKAROA,TAS,-41.300,148.320,Delivery Area
7263,ALBERTON,TAS,-41.290,147.790,Delivery Area
7330,ALCOMIE,TAS,-40.930,145.190,Delivery Area
7150,ALLENS RIVULET,TAS,-43.360,147.330,Delivery Area
7150,ALONNAH,TAS,-43.360,147.330,Delivery Area
7310,AMBLESIDE,TAS,-41.240,146.320,Delivery Area
7120,ANDOVER,TAS,-42.330,147.460,Delivery Area
7264,ANSONS BAY,TAS,-40.890,147.880,Delivery Area
7120,ANTILL PONDS,TAS,-42.330,147.460,Delivery Area
7150,APOLLO BAY,TAS,-43.360,147.330,Delivery Area
7190,APSLAWN,TAS,-41.960,148.160,Delivery Area
7030,APSLEY,TAS,-42.420,147.140,Delivery Area
7330,ARTHUR RIVER,TAS,-40.930,145.190,Delivery Area
7030,ARTHURS LAKE,TAS,-42.420,147.140,Delivery Area
7011,AUSTINS FERRY,TAS,-42.770,147.240,Delivery Area
7213,AVOCA,TAS,-41.780,147.720,Delivery Area
7120,BADEN,TAS,-42.330,147.460,Delivery Area
7270,BADGER HEAD,TAS,-41.100,146.670,Delivery Area
7030,BAGDAD,TAS,-42.420,147.140,Delivery Area
7307,BAKERS BEACH,TAS,-41.190,146.610,Delivery Area
7265,BANCA,TAS,-41.020,147.800,Delivery Area
7267,BANGOR,TAS,-41.220,147.140,Delivery Area
7150,BARNES BAY,TAS,-43.360,147.330,Delivery Area
7054,BARRETTA,TAS,-43.050,147.260,Delivery Area
7306,BARRINGTON,TAS,-41.280,146.320,Delivery Area
7004,BATTERY POINT,TAS,-42.890,147.330,Delivery Area
7270,BEACONSFIELD,TAS,-41.100,146.670,Delivery Area
7215,BEAUMARIS,TAS,-41.420,148.280,Delivery Area
7270,BEAUTY POINT,TAS,-41.100,146.670,Delivery Area
7252,BEECHFORD,TAS,-41.030,146.950,Delivery Area
7253,BELL BAY,TAS,-41.130,146.870,Delivery Area
7018,BELLERIVE,TAS,-42.870,147.370,Delivery Area
7254,BELLINGHAM,TAS,-41.020,147.170,Delivery Area
7212,BEN LOMOND,TAS,-41.510,147.610,Delivery Area
7011,BERRIEDALE,TAS,-42.770,147.240,Delivery Area
7306,BEULAH,TAS,-41.280,146.320,Delivery Area
7215,BICHENO,TAS,-41.420,148.280,Delivery Area
7216,BINALONG BAY,TAS,-41.300,148.320,Delivery Area
7162,BIRCHS BAY,TAS,-43.180,147.240,Delivery Area
7303,BIRRALEE,TAS,-41.380,146.830,Delivery Area
7301,BISHOPSBOURNE,TAS,-41.620,146.990,Delivery Area
7140,BLACK HILLS,TAS,-42.730,147.030,Delivery Area
7321,BLACK RIVER,TAS,-40.850,145.310,Delivery Area
7052,BLACKMANS BAY,TAS,-43.000,147.320,Delivery Area
7250,BLACKSTONE HEIGHTS,TAS,-41.460,147.080,Delivery Area
7275,BLACKWALL,TAS,-41.310,146.970,Delivery Area
7301,BLACKWOOD CREEK,TAS,-41.620,146.990,Delivery Area
7212,BLESSINGTON,TAS,-41.510,147.610,Delivery Area
7255,BLUE ROCKS,TAS,-40.040,147.950,Delivery Area
7260,BLUMONT,TAS,-41.150,147.410,Delivery Area
7321,BOAT HARBOUR,TAS,-40.850,145.310,Delivery Area
7321,BOAT HARBOUR BEACH,TAS,-40.850,145.310,Delivery Area
7053,BONNET HILL,TAS,-42.970,147.330,Delivery Area
7264,BOOBYALLA,TAS,-40.890,147.880,Delivery Area
7177,BOOMER BAY,TAS,-42.870,147.830,Delivery Area
7030,BOTHWELL,TAS,-42.420,147.140,Delivery Area
7140,BOYER,TAS,-42.730,147.030,Delivery Area
7302,BRACKNELL,TAS,-41.650,146.940,Delivery Area
7140,BRADYS LAKE,TAS,-42.730,147.030,Delivery Area
7304,BRANDUM,TAS,-41.820,146.680,Delivery Area
7261,BRANXHOLM,TAS,-41.170,147.740,Delivery Area
7258,BREADALBANE,TAS,-41.530,147.190,Delivery Area
7175,BREAM CREEK,TAS,-42.810,147.830,Delivery Area
7304,BREONA,TAS,-41.820,146.680,Delivery Area
7277,BRIDGENORTH,TAS,-41.380,146.970,Delivery Area
7030,BRIDGEWATER,TAS,-42.420,147.140,Delivery Area
7262,BRIDPORT,TAS,-41.000,147.390,Delivery Area
7030,BRIGHTON,TAS,-42.420,147.140,Delivery Area
7330,BRITTONS SWAMP,TAS,-40.930,145.190,Delivery Area
7030,BROADMARSH,TAS,-42.420,147.140,Delivery Area
7330,BROADMEADOWS,TAS,-40.930,145.190,Delivery Area
7140,BRONTE PARK,TAS,-42.730,147.030,Delivery Area
7320,BROOKLYN,TAS,-41.070,145.890,Delivery Area
7116,BROOKS BAY,TAS,-43.230,147.030,Delivery Area
7190,BUCKLAND,TAS,-41.960,148.160,Delivery Area
7256,BUNGAREE,TAS,-39.780,143.900,Delivery Area
7320,BURNIE,TAS,-41.070,145.890,Delivery Area
7212,BURNS CREEK,TAS,-41.510,147.610,Delivery Area
7140,BUSHY PARK,TAS,-42.730,147.030,Delivery Area
7140,BUTLERS GORGE,TAS,-42.730,147.030,Delivery Area
7116,CAIRNS BAY,TAS,-43.230,147.030,Delivery Area
7325,CALDER,TAS,-41.070,145.630,Delivery Area
7170,CAMBRIDGE,TAS,-42.870,147.470,Delivery Area
7320,CAMDALE,TAS,-41.070,145.890,Delivery Area
7316,CAMENA,TAS,-41.170,145.970,Delivery Area
7026,CAMPANIA,TAS,-42.660,147.420,Delivery Area
7210,CAMPBELL TOWN,TAS,-41.930,147.490,Delivery Area
7257,CAPE BARREN ISLAND,TAS,-40.390,148.230,Delivery Area
7182,CAPE PILLAR,TAS,,,Delivery Area
7264,CAPE PORTLAND,TAS,-40.890,147.880,Delivery Area
7184,CAPE RAOUL,TAS,,,Delivery Area
7173,CARLTON,TAS,-42.870,147.640,Delivery Area
7173,CARLTON RIVER,TAS,-42.870,147.640,Delivery Area
7291,CARRICK,TAS,-41.530,147.010,Delivery Area
7151,CASEY,TAS,-41.520,146.640,Delivery Area
7116,CASTLE FORBES BAY,TAS,-43.230,147.030,Delivery Area
7315,CASTRA,TAS,-41.210,146.180,Delivery Area
7304,CAVESIDE,TAS,-41.820,146.680,Delivery Area
7304,CENTRAL PLATEAU,TAS,-41.820,146.680,Delivery Area
7306,CETHANA,TAS,-41.280,146.320,Delivery Area
7215,CHAIN OF LAGOONS,TAS,-41.420,148.280,Delivery Area
7112,CHARLOTTE COVE,TAS,-43.230,147.100,Delivery Area
7321,CHASM CREEK,TAS,-40.850,145.310,Delivery Area
7011,CHIGWELL,TAS,-42.770,147.240,Delivery Area
7330,CHRISTMAS HILLS,TAS,-40.930,145.190,Delivery Area
7304,CHUDLEIGH,TAS,-41.820,146.680,Delivery Area
7011,CLAREMONT,TAS,-42.770,147.240,Delivery Area
7270,CLARENCE POINT,TAS,-41.100,146.670,Delivery Area
7019,CLARENDON VALE,TAS,-42.890,147.450,Delivery Area
7306,CLAUDE ROAD,TAS,-41.280,146.320,Delivery Area
7211,CLEVELAND,TAS,-41.810,147.420,Delivery Area
7020,CLIFTON BEACH,TAS,-42.990,147.520,Delivery Area
7303,CLUAN,TAS,-41.380,146.830,Delivery Area
7027,COLEBROOK,TAS,-42.530,147.360,Delivery Area
7215,COLES BAY,TAS,-41.420,148.280,Delivery Area
7012,COLLINSVALE,TAS,-42.840,147.190,Delivery Area
7211,CONARA,TAS,-41.810,147.420,Delivery Area
7054,CONINGHAM,TAS,-43.050,147.260,Delivery Area
7173,CONNELLYS MARSH,TAS,-42.870,147.640,Delivery Area
7320,COOEE,TAS,-41.070,145.890,Delivery Area
7174,COPPING,TAS,0.000,0.000,Delivery Area
7321,CORINNA,TAS,-40.850,145.310,Delivery Area
7215,CORNWALL,TAS,-41.420,148.280,Delivery Area
7330,COUTA ROCKS,TAS,-40.930,145.190,Delivery Area
7321,COWRIE POINT,TAS,-40.850,145.310,Delivery Area
7109,CRABTREE,TAS,-42.960,147.080,Delivery Area
7306,CRADLE MOUNTAIN,TAS,-41.280,146.320,Delivery Area
7109,CRADOC,TAS,-42.960,147.080,Delivery Area
7030,CRAMPS BAY,TAS,-42.420,147.140,Delivery Area
7190,CRANBROOK,TAS,-41.960,148.160,Delivery Area
7321,CRAYFISH CREEK,TAS,-40.850,145.310,Delivery Area
7024,CREMORNE,TAS,-42.950,147.520,Delivery Area
7302,CRESSY,TAS,-41.650,146.940,Delivery Area
7260,CUCKOO,TAS,-41.150,147.410,Delivery Area
7316,CUPRONA,TAS,-41.170,145.970,Delivery Area
7256,CURRIE,TAS,-39.780,143.900,Delivery Area
7112,CYGNET,TAS,-43.230,147.100,Delivery Area
7304,DAIRY PLAINS,TAS,-41.820,146.680,Delivery Area
7151,DAVIS,TAS,-41.520,146.640,Delivery Area
7212,DEDDINGTON,TAS,-41.510,147.610,Delivery Area
7140,DEE,TAS,-42.730,147.030,Delivery Area
7112,DEEP BAY,TAS,-43.230,147.100,Delivery Area
7304,DELORAINE,TAS,-41.820,146.680,Delivery Area
7150,DENNES POINT,TAS,-43.360,147.330,Delivery Area
7264,DERBY,TAS,-40.890,147.880,Delivery Area
7140,DERWENT BRIDGE,TAS,-42.730,147.030,Delivery Area
7009,DERWENT PARK,TAS,-42.840,147.290,Delivery Area
7321,DETENTION,TAS,-40.850,145.310,Delivery Area
7275,DEVIOT,TAS,-41.310,146.970,Delivery Area
7300,DEVON HILLS,TAS,-41.550,147.190,Delivery Area
7310,DEVONPORT,TAS,-41.240,146.320,Delivery Area
7252,DILSTON,TAS,-41.030,146.950,Delivery Area
7304,DOCTORS POINT,TAS,-41.820,146.680,Delivery Area
7325,DOCTORS ROCKS,TAS,-41.070,145.630,Delivery Area
7173,DODGES FERRY,TAS,-42.870,147.640,Delivery Area
7190,DOLPHIN SANDS,TAS,-41.960,148.160,Delivery Area
7310,DON,TAS,-41.240,146.320,Delivery Area
7215,DOUGLAS RIVER,TAS,-41.420,148.280,Delivery Area
7215,DOUGLAS-APSLEY,TAS,,,Delivery Area
7117,DOVER,TAS,-43.310,147.020,Delivery Area
7320,DOWNLANDS,TAS,-41.070,145.890,Delivery Area
7010,DOWSING POINT,TAS,-42.820,147.300,Delivery Area
7030,DROMEDARY,TAS,-42.420,147.140,Delivery Area
7025,DULCOT,TAS,-42.790,147.420,Delivery Area
7177,DUNALLEY,TAS,-42.870,147.830,Delivery Area
7304,DUNORLAN,TAS,-41.820,146.680,Delivery Area
7005,DYNNYRNE,TAS,-42.900,147.310,Delivery Area
7030,DYSART,TAS,-42.420,147.140,Delivery Area
7179,EAGLEHAWK NECK,TAS,-43.010,147.920,Delivery Area
7321,EAST CAM,TAS,-40.850,145.310,Delivery Area
7310,EAST DEVONPORT,TAS,-41.240,146.320,Delivery Area
7250,EAST LAUNCESTON,TAS,-41.460,147.080,Delivery Area
7321,EAST RIDGLEY,TAS,-40.850,145.310,Delivery Area
7264,EDDYSTONE,TAS,-40.890,147.880,Delivery Area
7321,EDGCUMBE BEACH,TAS,-40.850,145.310,Delivery Area
7330,EDITH CREEK,TAS,-40.930,145.190,Delivery Area
7256,EGG LAGOON,TAS,-39.780,143.900,Delivery Area
7112,EGGS AND BACON BAY,TAS,-43.230,147.100,Delivery Area
7030,ELDERSLIE,TAS,-42.420,147.140,Delivery Area
7054,ELECTRONA,TAS,-43.050,147.260,Delivery Area
7304,ELIZABETH TOWN,TAS,-41.820,146.680,Delivery Area
7140,ELLENDALE,TAS,-42.730,147.030,Delivery Area
7325,ELLIOTT,TAS,-41.070,145.630,Delivery Area
7255,EMITA,TAS,-40.040,147.950,Delivery Area
7320,EMU HEIGHTS,TAS,-41.070,145.890,Delivery Area
7211,EPPING FOREST,TAS,-41.810,147.420,Delivery Area
7310,ERRIBA,TAS,-41.240,146.320,Delivery Area
7310,EUGENANA,TAS,-41.240,146.320,Delivery Area
7212,EVANDALE,TAS,-41.510,147.610,Delivery Area
7275,EXETER,TAS,-41.310,146.970,Delivery Area
7303,EXTON,TAS,-41.380,146.830,Delivery Area
7215,FALMOUTH,TAS,-41.420,148.280,Delivery Area
7140,FENTONBURY,TAS,-42.730,147.030,Delivery Area
7054,FERN TREE,TAS,-43.050,147.260,Delivery Area
7214,FINGAL,TAS,-41.640,147.970,Delivery Area
7140,FITZGERALD,TAS,-42.730,147.030,Delivery Area
7030,FLINTSTONE,TAS,-42.420,147.140,Delivery Area
7140,FLORENTINE,TAS,-42.730,147.030,Delivery Area
7325,FLOWERDALE,TAS,-41.070,145.630,Delivery Area
7163,FLOWERPOT,TAS,-43.200,147.250,Delivery Area
7270,FLOWERY GULLY,TAS,-41.100,146.670,Delivery Area
7173,FORCETT,TAS,-42.870,147.640,Delivery Area
7330,FOREST,TAS,-40.930,145.190,Delivery Area
7260,FORESTER,TAS,-41.150,147.410,Delivery Area
7182,FORTESCUE,TAS,-43.130,147.950,Delivery Area
7310,FORTH,TAS,-41.240,146.320,Delivery Area
