Postcode,Suburb,State,Lat,Lon,Category
3737,ABBEYARD,VIC,-36.980,146.780,Delivery Area
3067,ABBOTSFORD,VIC,-37.800,145.000,Delivery Area
8006,ABECKETT STREET,VIC,-37.810,144.960,Post Office Boxes
3040,ABERFELDIE,VIC,-37.760,144.900,Delivery Area
3825,ABERFELDY,VIC,-37.700,146.360,Delivery Area
3714,ACHERON,VIC,-37.250,145.700,Delivery Area
3833,ADA,VIC,-37.840,145.850,Delivery Area
3984,ADAMS ESTATE,VIC,-38.320,145.540,Delivery Area
3352,ADDINGTON,VIC,-37.380,143.670,Delivery Area
3465,ADELAIDE LEAD,VIC,-37.070,143.680,Delivery Area
3962,AGNES,VIC,-38.670,146.400,Delivery Area
3336,AINTREE,VIC,,,Delivery Area
3237,AIRE VALLEY,VIC,-38.690,143.560,Delivery Area
3231,AIREYS INLET,VIC,-38.460,144.110,Delivery Area
3851,AIRLY,VIC,-38.040,147.080,Delivery Area
3042,AIRPORT WEST,VIC,-37.710,144.890,Delivery Area
3424,ALBACUTYA,VIC,-35.690,141.970,Delivery Area
3021,ALBANVALE,VIC,-37.750,144.770,Delivery Area
3206,ALBERT PARK,VIC,-37.840,144.960,Delivery Area
3971,ALBERTON,VIC,-38.610,146.670,Delivery Area
3971,ALBERTON WEST,VIC,-38.610,146.670,Delivery Area
3020,ALBION,VIC,-37.780,144.820,Delivery Area
3714,ALEXANDRA,VIC,-37.250,145.700,Delivery Area
3350,ALFREDTON,VIC,-37.560,143.820,Delivery Area
3823,ALLAMBEE,VIC,-38.260,146.030,Delivery Area
3871,ALLAMBEE RESERVE,VIC,-38.290,146.050,Delivery Area
3871,ALLAMBEE SOUTH,VIC,-38.290,146.050,Delivery Area
3691,ALLANS FLAT,VIC,-36.280,146.910,Delivery Area
3277,ALLANSFORD,VIC,-38.390,142.590,Delivery Area
3364,ALLENDALE,VIC,-37.370,143.940,Delivery Area
3305,ALLESTREE,VIC,-38.270,141.650,Delivery Area
3465,ALMA,VIC,-37.070,143.680,Delivery Area
3727,ALMONDS,VIC,-36.230,146.060,Delivery Area
3979,ALMURTA,VIC,-38.430,145.560,Delivery Area
3078,ALPHINGTON,VIC,-37.780,145.030,Delivery Area
3018,ALTONA,VIC,-37.870,144.830,Delivery Area
3025,ALTONA EAST,VIC,-37.840,144.860,Delivery Area
3025,ALTONA GATE,VIC,-37.840,144.860,Delivery Area
3028,ALTONA MEADOWS,VIC,-37.870,144.780,Delivery Area
3025,ALTONA NORTH,VIC,-37.840,144.860,Delivery Area
3249,ALVIE,VIC,-38.240,143.480,Delivery Area
3371,AMHERST,VIC,-37.150,143.670,Delivery Area
3825,AMOR,VIC,-37.700,146.360,Delivery Area
3468,AMPHITHEATRE,VIC,-37.180,143.400,Delivery Area
3213,ANAKIE,VIC,,,Delivery Area
3715,ANCONA,VIC,-36.970,145.790,Delivery Area
3995,ANDERSON,VIC,-38.530,145.450,Delivery Area
3898,ANGLERS REST,VIC,-37.020,147.470,Delivery Area
3230,ANGLESEA,VIC,-38.410,144.190,Delivery Area
3549,ANNUELLO,VIC,-34.850,142.830,Delivery Area
3414,ANTWERP,VIC,-36.300,142.020,Delivery Area
3233,APOLLO BAY,VIC,-38.750,143.670,Delivery Area
3579,APPIN,VIC,-35.880,143.870,Delivery Area
3579,APPIN SOUTH,VIC,-35.880,143.870,Delivery Area
3319,APSLEY,VIC,-36.970,141.080,Delivery Area
3409,ARAPILES,VIC,-36.780,141.760,Delivery Area
3377,ARARAT,VIC,-37.280,142.930,Delivery Area
3951,ARAWATA,VIC,-38.390,145.890,Delivery Area
3858,ARBUCKLE,VIC,-37.970,146.690,Delivery Area
3631,ARCADIA,VIC,-36.540,145.360,Delivery Area
3631,ARCADIA SOUTH,VIC,-36.540,145.360,Delivery Area
3475,ARCHDALE,VIC,-36.830,143.500,Delivery Area
3475,ARCHDALE JUNCTION,VIC,-36.830,143.500,Delivery Area
3723,ARCHERTON,VIC,-36.890,146.260,Delivery Area
3995,ARCHIES CREEK,VIC,-38.530,145.450,Delivery Area
3022,ARDEER,VIC,-37.780,144.800,Delivery Area
3629,ARDMONA,VIC,-36.380,145.300,Delivery Area
3480,AREEGRA,VIC,-36.240,142.690,Delivery Area
3523,ARGYLE,VIC,-36.940,144.730,Delivery Area
3143,ARMADALE,VIC,-37.860,145.020,Delivery Area
3143,ARMADALE NORTH,VIC,-37.860,145.020,Delivery Area
3377,ARMSTRONG,VIC,-37.280,142.930,Delivery Area
3217,ARMSTRONG CREEK,VIC,,,Delivery Area
3551,ARNOLD,VIC,-36.690,143.870,Delivery Area
3551,ARNOLD WEST,VIC,-36.690,143.870,Delivery Area
3099,ARTHURS CREEK,VIC,-37.590,145.220,Delivery Area
3936,ARTHURS SEAT,VIC,-38.350,144.950,Delivery Area
3364,ASCOT,VIC,-37.370,143.940,Delivery Area
3551,ASCOT,VIC,-36.690,143.870,Delivery Area
3032,ASCOT VALE,VIC,-37.780,144.920,Delivery Area
3442,ASHBOURNE,VIC,-37.390,144.450,Delivery Area
3147,ASHBURTON,VIC,-37.860,145.080,Delivery Area
3147,ASHWOOD,VIC,-37.860,145.080,Delivery Area
3195,ASPENDALE,VIC,-38.030,145.100,Delivery Area
3195,ASPENDALE GARDENS,VIC,-38.030,145.100,Delivery Area
3818,ATHLONE,VIC,-38.240,145.780,Delivery Area
3049,ATTWOOD,VIC,-37.670,144.890,Delivery Area
3393,AUBREY,VIC,-36.330,142.360,Delivery Area
3123,AUBURN,VIC,-37.830,145.040,Delivery Area
3122,AUBURN SOUTH,VIC,-37.840,145.050,Delivery Area
3570,AUCHMORE,VIC,-36.470,144.110,Delivery Area
3212,AVALON,VIC,-38.020,144.410,Delivery Area
3664,AVENEL,VIC,-36.890,145.230,Delivery Area
3467,AVOCA,VIC,-37.090,143.470,Delivery Area
3477,AVON PLAINS,VIC,0.000,0.000,Delivery Area
3034,AVONDALE HEIGHTS,VIC,-37.740,144.820,Delivery Area
3559,AVONMORE,VIC,-36.530,144.600,Delivery Area
3782,AVONSLEIGH,VIC,-37.920,145.470,Delivery Area
3551,AXE CREEK,VIC,-36.690,143.870,Delivery Area
3551,AXEDALE,VIC,-36.690,143.870,Delivery Area
3268,AYRFORD,VIC,-38.420,142.860,Delivery Area
3340,BACCHUS MARSH,VIC,-37.680,144.440,Delivery Area
3670,BADDAGINNIE,VIC,-36.590,145.860,Delivery Area
3777,BADGER CREEK,VIC,-37.690,145.540,Delivery Area
3579,BAEL BAEL,VIC,-35.880,143.870,Delivery Area
3551,BAGSHOT,VIC,-36.690,143.870,Delivery Area
3551,BAGSHOT NORTH,VIC,-36.690,143.870,Delivery Area
3312,BAHGALLAH,VIC,-37.640,141.370,Delivery Area
3608,BAILIESTON,VIC,-36.700,145.030,Delivery Area
3875,BAIRNSDALE,VIC,-37.830,147.630,Delivery Area
3350,BAKERY HILL,VIC,-37.560,143.820,Delivery Area
3354,BAKERY HILL,VIC,-37.560,143.870,Post Office Boxes
3183,BALACLAVA,VIC,-37.870,145.000,Delivery Area
3364,BALD HILLS,VIC,-37.370,143.940,Delivery Area
3249,BALINTORE,VIC,-38.240,143.480,Delivery Area
3342,BALLAN,VIC,-37.600,144.230,Delivery Area
3279,BALLANGEICH,VIC,-38.210,142.660,Delivery Area
3483,BALLAPUR,VIC,-35.980,142.750,Delivery Area
3350,BALLARAT,VIC,-37.560,143.820,Delivery Area
3353,BALLARAT,VIC,-37.780,144.840,Post Office Boxes
3350,BALLARAT CENTRAL,VIC,-37.560,143.820,Delivery Area
3350,BALLARAT EAST,VIC,-37.560,143.820,Delivery Area
3354,BALLARAT MC,VIC,-37.560,143.870,Post Office Boxes
3350,BALLARAT NORTH,VIC,-37.560,143.820,Delivery Area
3350,BALLARAT WEST,VIC,-37.560,143.820,Delivery Area
3561,BALLENDELLA,VIC,-36.300,144.670,Delivery Area
3340,BALLIANG,VIC,-37.680,144.440,Delivery Area
3340,BALLIANG EAST,VIC,-37.680,144.440,Delivery Area
3375,BALLYROGAN,VIC,-37.430,143.130,Delivery Area
3666,BALMATTUM,VIC,-36.710,145.640,Delivery Area
3407,BALMORAL,VIC,-37.250,141.840,Delivery Area
3926,BALNARRING,VIC,-38.370,145.130,Delivery Area
3926,BALNARRING BEACH,VIC,-38.370,145.130,Delivery Area
3971,BALOOK,VIC,-38.610,146.670,Delivery Area
3103,BALWYN,VIC,-37.810,145.080,Delivery Area
3103,BALWYN EAST,VIC,-37.810,145.080,Delivery Area
3104,BALWYN NORTH,VIC,-37.790,145.070,Delivery Area
3561,BAMAWM,VIC,-36.300,144.670,Delivery Area
3564,BAMAWM EXTENSION,VIC,,,Delivery Area
3241,BAMBRA,VIC,-38.370,143.950,Delivery Area
3333,BAMGANIE,VIC,-37.920,144.030,Delivery Area
3691,BANDIANA,VIC,-36.280,146.910,Delivery Area
3694,BANDIANA MILPO,VIC,-36.140,146.920,Post Office Boxes
3393,BANGERANG,VIC,-36.330,142.360,Delivery Area
3175,BANGHOLME,VIC,-38.030,145.180,Delivery Area
3875,BANKSIA PENINSULA,VIC,-37.830,147.630,Delivery Area
3549,BANNERTON,VIC,-34.850,142.830,Delivery Area
3331,BANNOCKBURN,VIC,-38.050,144.170,Delivery Area
3485,BANYAN,VIC,-35.640,142.770,Delivery Area
3388,BANYENA,VIC,-36.570,142.820,Delivery Area
3084,BANYULE,VIC,-37.740,145.090,Delivery Area
3691,BARANDUDA,VIC,-36.280,146.910,Delivery Area
3220,BAREENA,VIC,-38.180,145.110,Delivery Area
3444,BARFOLD,VIC,-37.090,144.510,Delivery Area
3463,BARINGHUP,VIC,-36.980,143.950,Delivery Area
3463,BARINGHUP WEST,VIC,-36.980,143.950,Delivery Area
3723,BARJARG,VIC,-36.890,146.260,Delivery Area
3451,BARKERS CREEK,VIC,-37.030,144.240,Delivery Area
3384,BARKLY,VIC,-36.980,143.200,Delivery Area
3364,BARKSTEAD,VIC,-37.370,143.940,Delivery Area
3639,BARMAH,VIC,-36.020,144.970,Delivery Area
3557,BARNADOWN,VIC,-36.650,144.510,Delivery Area
3688,BARNAWARTHA,VIC,-36.110,146.670,Delivery Area
3691,BARNAWARTHA NORTH,VIC,-36.280,146.910,Delivery Area
3871,BAROMI,VIC,-38.290,146.050,Delivery Area
3249,BARONGAROOK,VIC,-38.240,143.480,Delivery Area
3249,BARONGAROOK WEST,VIC,-38.240,143.480,Delivery Area
3221,BARRABOOL,VIC,-37.900,144.250,Delivery Area
3525,BARRAKEE,VIC,-36.270,143.430,Delivery Area
3249,BARRAMUNGA,VIC,-38.240,143.480,Delivery Area
3537,BARRAPORT,VIC,-36.010,143.670,Delivery Area
3537,BARRAPORT WEST,VIC,-36.010,143.670,Delivery Area
3458,BARRYS REEF,VIC,-37.450,144.290,Delivery Area
3329,BARUNAH PARK,VIC,-38.020,143.860,Delivery Area
3329,BARUNAH PLAINS,VIC,-38.020,143.860,Delivery Area
3737,BARWIDGEE,VIC,-36.980,146.780,Delivery Area
3722,BARWITE,VIC,-37.010,146.220,Delivery Area
3243,BARWON DOWNS,VIC,-38.470,143.760,Delivery Area
3227,BARWON HEADS,VIC,-38.280,144.490,Delivery Area
3460,BASALT,VIC,-37.310,144.090,Delivery Area
3991,BASS,VIC,-38.480,145.470,Delivery Area
3213,BATESFORD,VIC,,,Delivery Area
3730,BATHUMI,VIC,-36.030,146.080,Delivery Area
3058,BATMAN,VIC,-37.730,144.960,Delivery Area
3833,BAW BAW,VIC,-37.840,145.850,Delivery Area
3833,BAW BAW VILLAGE,VIC,-37.840,145.850,Delivery Area
3911,BAXTER,VIC,-38.200,145.160,Delivery Area
3375,BAYINDEEN,VIC,-37.430,143.130,Delivery Area
3981,BAYLES,VIC,-38.180,145.570,Delivery Area
3444,BAYNTON,VIC,-37.090,144.510,Delivery Area
3444,BAYNTON EAST,VIC,-37.090,144.510,Delivery Area
3153,BAYSWATER,VIC,-37.840,145.270,Delivery Area
8784,BAYSWATER,VIC,,,Post Office Boxes
3153,BAYSWATER NORTH,VIC,-37.840,145.270,Delivery Area
3807,BEACONSFIELD,VIC,-38.050,145.370,Delivery Area
3808,BEACONSFIELD UPPER,VIC,-38.000,145.410,Delivery Area
3475,BEALIBA,VIC,-36.830,143.500,Delivery Area
3641,BEARII,VIC,-35.920,145.330,Delivery Area
3517,BEARS LAGOON,VIC,-36.300,143.920,Delivery Area
3579,BEAUCHAMP,VIC,-35.880,143.870,Delivery Area
3373,BEAUFORT,VIC,-37.430,143.380,Delivery Area
3193,BEAUMARIS,VIC,-37.990,145.030,Delivery Area
3477,BEAZLEYS BRIDGE,VIC,0.000,0.000,Delivery Area
3135,BEDFORD ROAD,VIC,-37.820,145.250,Delivery Area
3251,BEEAC,VIC,-38.190,143.640,Delivery Area
3237,BEECH FOREST,VIC,-38.690,143.560,Delivery Area
3747,BEECHWORTH,VIC,-36.360,146.690,Delivery Area
3139,BEENAK,VIC,-37.800,145.540,Delivery Area
3160,BELGRAVE,VIC,-37.910,145.360,Delivery Area
3160,BELGRAVE HEIGHTS,VIC,-37.910,145.360,Delivery Area
3160,BELGRAVE SOUTH,VIC,-37.910,145.360,Delivery Area
3215,BELL PARK,VIC,-38.110,144.330,Delivery Area
