Postcode,Suburb,State,Lat,Lon,Category
6280,ABBA RIVER,WA,-33.680,115.460,Delivery Area
6280,ABBEY,WA,-33.680,115.460,Delivery Area
6280,ACTON PARK,WA,-33.680,115.460,Delivery Area
6375,ADAMSVALE,WA,-32.250,117.720,Delivery Area
6532,AJANA,WA,-27.950,114.610,Delivery Area
6330,ALBANY,WA,-35.020,117.880,Delivery Area
6331,ALBANY DC,WA,0.000,0.000,Post Office Boxes
6332,ALBANY PO,WA,-32.050,115.970,Post Office Boxes
6306,ALDERSYDE,WA,-32.370,117.310,Delivery Area
6064,ALEXANDER HEIGHTS,WA,-31.830,115.870,Delivery Area
6288,ALEXANDRA BRIDGE,WA,-34.160,115.200,Delivery Area
6154,ALFRED COVE,WA,-32.030,115.810,Delivery Area
6038,ALKIMOS,WA,-32.290,115.720,Delivery Area
6525,ALLANOOKA,WA,-29.050,115.030,Delivery Area
6225,ALLANSON,WA,-33.340,116.100,Delivery Area
6535,ALMA,WA,-28.230,114.690,Delivery Area
6632,AMBANIA,WA,-28.700,115.120,Delivery Area
6280,AMBERGATE,WA,-33.680,115.460,Delivery Area
6338,AMELUP,WA,-34.240,118.220,Delivery Area
6642,ANGELO RIVER,WA,-24.080,118.010,Delivery Area
6167,ANKETELL,WA,-32.230,115.870,Delivery Area
6280,ANNIEBROOK,WA,-33.680,115.460,Delivery Area
6714,ANTONYMYRE,WA,-20.660,117.090,Delivery Area
6153,APPLECROSS,WA,-32.020,115.830,Delivery Area
6953,APPLECROSS,WA,0.000,0.000,Post Office Boxes
6153,APPLECROSS NORTH,WA,-32.020,115.830,Delivery Area
6419,ARDATH,WA,-32.030,118.100,Delivery Area
6153,ARDROSS,WA,-32.020,115.830,Delivery Area
6239,ARGYLE,WA,-33.550,115.770,Delivery Area
6112,ARMADALE,WA,-32.150,116.010,Delivery Area
6992,ARMADALE,WA,-31.960,115.920,Post Office Boxes
6519,ARRINO,WA,-29.440,115.630,Delivery Area
6525,ARROWSMITH,WA,-29.050,115.030,Delivery Area
6519,ARROWSMITH EAST,WA,-29.440,115.630,Delivery Area
6315,ARTHUR RIVER,WA,-33.340,117.030,Delivery Area
