Postcode,Suburb
2601,ACTON
2602,AINSLIE
2914,AMAROO
2614,ARANDA
0200,AUSTRALIAN NATIONAL UNIVERSITY
2906,BANKS
2600,BARTON
2620,BEARD
2616,BELCONNEN
2617,BELCONNEN
2617,BELCONNEN DC
2914,BONNER
2905,BONYTHON
2620,BOOTH
2612,BRADDON
2617,BRUCE
2905,CALWELL
2612,CAMPBELL
2600,CANBERRA
2601,CANBERRA
2609,CANBERRA AIRPORT
2610,CANBERRA BC
2610,CANBERRA MC
2600,CAPITAL HILL
2913,CASEY
2604,CAUSEWAY
2611,CHAPMAN
2615,CHARNWOOD
2606,CHIFLEY
2905,CHISHOLM
2601,CITY
2608,CIVIC SQUARE
2906,CONDER
2614,COOK
2611,COOMBS
2611,COREE
2911,CRACE
2605,CURTIN
2600,DEAKIN
2600,DEAKIN WEST
2611,DENMAN PROSPECT
2602,DICKSON
2602,DOWNER
2611,DUFFY
2615,DUNLOP
2903,ERINDALE CENTRE
2617,EVATT
2904,FADDEN
2607,FARRER
2611,FISHER
2615,FLOREY
2615,FLYNN
2914,FORDE
2603,FORREST
2913,FRANKLIN
2615,FRASER
2609,FYSHWICK
2605,GARRAN
2905,GILMORE
2617,GIRALANG
2906,GORDON
2904,GOWRIE
2900,GREENWAY
2603,GRIFFITH
2912,GUNGAHLIN
2602,HACKETT
2618,HALL
2600,HARMAN
2914,HARRISON
2614,HAWKER
2615,HIGGINS
2540,HMAS CRESWELL
2600,HMAS HARMAN
2611,HOLDER
2615,HOLT
2605,HUGHES
2620,HUME
2607,ISAACS
2905,ISABELLA PLAINS
2914,JACKA
2614,JAMISON CENTRE
2540,JERVIS BAY
2617,KALEEN
2902,KAMBAH
2902,KAMBAH VILLAGE
2911,KENNY
2604,KINGSTON
2615,KIPPAX
2620,KOWEN
2615,LATHAM
2617,LAWSON
2602,LYNEHAM
2606,LYONS
2904,MACARTHUR
2615,MACGREGOR
2615,MACNAMARA
2614,MACQUARIE
2609,MAJURA
2603,MANUKA
2607,MAWSON
2617,MCKELLAR
2615,MELBA
2911,MITCHELL
2611,MOLONGLO
2904,MONASH
2914,MONCRIEFF
2604,NARRABUNDAH
2913,NGUNNAWAL
2913,NICHOLLS
2620,OAKS ESTATE
2903,OXLEY
2620,PADDYS RIVER
2614,PAGE
2913,PALMERSTON
2600,PARKES
2607,PEARCE
2606,PHILLIP
2609,PIALLIGO
2603,RED HILL
2612,REID
2905,RICHARDSON
2611,RIVETT
2600,RUSSELL
2614,SCULLIN
2615,SPENCE
2611,STIRLING
2615,STRATHNAIRN
2611,STROMLO
2609,SYMONSTON
2913,TAYLOR
2620,TENNENT
2620,THARWA
2905,THEODORE
2914,THROSBY
2607,TORRENS
2901,TUGGERANONG DC
2612,TURNER
2617,UNIVERSITY OF CANBERRA
2611,URIARRA VILLAGE
2903,WANNIASSA
2611,WARAMANGA
2602,WATSON
2614,WEETANGERA
2611,WESTON
2611,WESTON CREEK
2611,WHITLAM
2620,WILLIAMSDALE
2606,WODEN
2540,WRECK BAY
2611,WRIGHT
2600,YARRALUMLA
