Postcode,Suburb
2850,AARONS PASS
2176,ABBOTSBURY
2046,ABBOTSFORD
2795,ABERCROMBIE
2795,ABERCROMBIE RIVER
2325,ABERDARE
2336,ABERDEEN
2350,ABERFOYLE
2320,ABERGLASSLYN
2326,ABERMAIN
2325,ABERNETHY
2350,ABINGTON
2476,ACACIA CREEK
2763,ACACIA GARDENS
2629,ADAMINABY
2289,ADAMSTOWN
2289,ADAMSTOWN HEIGHTS
2729,ADELONG
2727,ADJUNGBILLY
2474,AFTERLEE
2753,AGNES BANKS
2560,AIRDS
2546,AKOLELE
2873,ALBERT
2527,ALBION PARK
2527,ALBION PARK RAIL
2640,ALBURY
2440,ALDAVILLA
2870,ALECTOWN
1435,ALEXANDRIA
2015,ALEXANDRIA
2234,ALFORDS POINT
2650,ALFREDTOWN
2469,ALICE
2259,ALISON
2420,ALISON
2100,ALLAMBIE HEIGHTS
2320,ALLANDALE
2218,ALLAWAH
2671,ALLEENA
2441,ALLGOMERA
2425,ALLWORTH
2311,ALLYNBROOK
2659,ALMA PARK
2575,ALPINE
2477,ALSTONVALE
2477,ALSTONVILLE
2460,ALUMY CREEK
2866,AMAROO
2560,AMBARVALE
4380,AMOSFIELD
2648,ANABRANCH NORTH
2648,ANABRANCH SOUTH
2320,ANAMBAH
2631,ANDO
2621,ANEMBO
2550,ANGLEDALE
2834,ANGLEDOOL
2629,ANGLERS REACH
2464,ANGOURIE
2765,ANGUS
2316,ANNA BAY
2038,ANNANDALE
2156,ANNANGROVE
2560,APPIN
2850,APPLE TREE FLAT
2340,APPLEBY
2330,APPLETREE FLAT
2820,APSLEY
2630,ARABLE
2431,ARAKOON
2622,ARALUEN
2714,ARATULA
2159,ARCADIA
2283,ARCADIA VALE
2338,ARDGLEN
2358,ARDING
2665,ARDLETHAN
2720,ARGALONG
2284,ARGENTON
2449,ARGENTS HILL
2707,ARGOON
2350,ARGYLE
2665,ARIAH PARK
2795,ARKELL
2795,ARKSTONE
2828,ARMATREE
2350,ARMIDALE
2350,ARMIDALE DC
2205,ARNCLIFFE
2148,ARNDELL PARK
2456,ARRAWARRA
2456,ARRAWARRA HEADLAND
1570,ARTARMON
2064,ARTARMON
2820,ARTHURVILLE
2715,ARUMPO
2193,ASHBURY
2463,ASHBY
2463,ASHBY HEIGHTS
2463,ASHBY ISLAND
2168,ASHCROFT
1800,ASHFIELD
2131,ASHFIELD
2361,ASHFORD
2400,ASHLEY
2650,ASHMONT
2323,ASHTONFIELD
2077,ASQUITH
2361,ATHOLWOOD
2345,ATTUNGA
1835,AUBURN
2144,AUBURN
2360,AUBURN VALE
2232,AUDLEY
2515,AUSTINMER
2179,AUSTRAL
2440,AUSTRAL EDEN
1215,AUSTRALIA SQUARE
2890,AUSTRALIAN DEFENCE FORCES
2107,AVALON BEACH
2850,AVISFORD
2577,AVOCA
2251,AVOCA BEACH
2574,AVON
2530,AVONDALE
2628,AVONSIDE
2283,AWABA
2575,AYLMERTON
2390,BAAN BAA
2825,BABINDA
2470,BABYL CREEK
2372,BACK CREEK
