Postcode,Suburb
0822,ACACIA HILLS
0846,ADELAIDE RIVER
0810,ALAWA
0872,ALI CURUNG
0870,ALICE SPRINGS
0871,ALICE SPRINGS
0872,ALICE SPRINGS
4825,ALPURRURULAM
0885,ALYANGULA
0852,AMANBIDJI
0873,AMOONGUNA
0872,AMPILATWATJA
0872,ANATYE
0822,ANGURUGU
0822,ANINDILYAKWA
0872,ANMATJERE
0812,ANULA
0870,ARALUEN
0830,ARCHER
0872,AREYONGA
0852,ARNOLD
0873,ARUMBERA
0872,ATITJERE
0852,BAINES
0832,BAKEWELL
0872,BARROW CREEK
0852,BARUNGA
0845,BATCHELOR
0822,BATHURST ISLAND
0820,BAYVIEW
0822,BEES CREEK
0832,BELLAMACK
0822,BELYUEN
0828,BERRIMAH
0838,BERRY SPRINGS
0852,BESWICK CREEK
0852,BINJARI
0852,BIRDUM
0822,BLACK JUNGLE
0822,BLACKMORE
0854,BORROLOOLA
0852,BRADSHAW
0870,BRAITLING
0810,BRINKIN
0852,BUCHANAN
0812,BUFFALO CREEK
0852,BULMAN WEEMOL
0822,BURRUNDIE
0872,BURT PLAIN
0822,BYNOE
0822,BYNOE HARBOUR
0862,CALVERT
0822,CAMP CREEK
0872,CANTEEN CREEK
0810,CASUARINA
0811,CASUARINA
0822,CHANNEL ISLAND
0820,CHARLES DARWIN
0822,CHARLES DARWIN
0815,CHARLES DARWIN UNIVERSITY
0822,CHARLOTTE
0872,CHILLA WELL
0870,CICCONE
0822,CLARAVALE
0822,COBOURG
0810,COCONUT GROVE
0822,COLLETT CREEK
0873,CONNELLAN
0839,COOLALINGA
0822,COOMALIE CREEK
0820,COONAWARRA
0850,COSSACK
0872,COSTELLO
0822,COX PENINSULA
0852,CRESWELL
0852,DAGURAGU
0822,DALY
0822,DALY RIVER
0852,DALY WATERS
0801,DARWIN
0800,DARWIN CITY
0820,DARWIN DC
0841,DARWIN RIVER
0822,DARWIN RIVER DAM
0872,DAVENPORT
0852,DELAMERE
0870,DESERT SPRINGS
0822,DOUGLAS-DALY
0830,DRIVER
0840,DUNDEE BEACH
0840,DUNDEE DOWNS
0840,DUNDEE FOREST
0830,DURACK
0822,EAST ARM
0822,EAST ARNHEM
0820,EAST POINT
0870,EAST SIDE
0820,EATON
0852,EDITH
0862,ELLIOTT
0822,ELRUNDIE
0852,ELSEY
0850,EMUNGALAN
0872,ENGAWALA
0822,EVA VALLEY
0820,FANNIE BAY
0830,FARRAR
0872,FINKE
0822,FINNISS VALLEY
0822,FLEMING
0852,FLORINA
0822,FLY CREEK
0852,FLYING FOX
0875,FLYNN
0822,FREDS PASS
0822,GALIWINKU
0880,GAPUWIYAK
0872,GHAN
0870,GILLEN
0836,GIRRAWEEN
0822,GLYDE POINT
0822,GOULBURN ISLAND
0830,GRAY
0852,GREGORY
0852,GULUNG MARDRULK
0822,GUNBALANYA
0832,GUNN
0822,GUNN POINT
0880,GUNYANGARA
0852,GURINDJI
0872,HAASTS BLUFF
0872,HALE
0872,HART
0873,HEAVITREE GAP CPA
0852,HELEN SPRINGS STATION
0836,HERBERT
0872,HERMANNSBURG
0822,HIDDEN VALLEY
0812,HOLMES
0829,HOLTZE
0822,HOTHAM
0835,HOWARD SPRINGS
0872,HUGH
0822,HUGHES
0836,HUMPTY DOO
0873,ILPARPA
0872,IMANPA
0872,ININTI STORE
0874,IRLPME
0886,JABIRU
0852,JILKMINGGAN
0810,JINGILI
0832,JOHNSTON
0822,KAKADU
0852,KALKARINDJI
0872,KALTUKATJARA
0812,KARAMA
0813,KARAMA
0850,KATHERINE
0851,KATHERINE
0852,KATHERINE
0850,KATHERINE EAST
0850,KATHERINE SOUTH
0873,KILGARIFF
0872,KINTORE
0828,KNUCKEY LAGOON
0822,KOOLPINYAH
0872,KULGERA
0872,KUNPARRKA
0852,LAJAMANU
0822,LAKE BENNETT
0872,LAKE MACKAY
0822,LAMBELLS LAGOON
0850,LANSDOWNE
0872,LARAMBA
0875,LARAPINTA
0820,LARRAKEYAH
0852,LARRIMAH
0812,LEANYER
0810,LEE POINT
0852,LIMMEN
0822,LITCHFIELD PARK
0822,LIVINGSTONE
0822,LLOYD CREEK
0820,LUDMILLA
0810,LYONS
0872,MACDONNELL RANGE
0812,MALAK
0852,MANBULLOO
0822,MANDORAH
0822,MANINGRIDA
0837,MANTON
0822,MAPURU
0852,MARANBOY
0822,MARANUNGA
0822,MARGARET RIVER
0830,MARLOW LAGOON
0822,MARRAKAI
0812,MARRARA
0852,MATARANKA
0852,MCARTHUR
0822,MCMINNS LAGOON
0872,MEREENIE
0822,MICKET CREEK
0822,MIDDLE POINT
0822,MILIKAPITI
0822,MILINGIMBI
0810,MILLNER
0822,MILYAKBURRA
0852,MINIYERRI
0822,MINJILANG
0832,MITCHELL
0810,MOIL
0830,MOULDEN
0822,MOUNT BUNDEY
0874,MOUNT JOHNS
0872,MOUNT LIEBIG
0872,MOUNT ZEIL
0810,MUIRHEAD
0822,MURRUMUJUK
0872,MUTITJULU
0810,NAKARA
0872,NAMATJIRA
0872,NAPPERBY STATION
0822,NAUIYU
0822,NEMARLUK
0862,NEWCASTLE WATERS
0822,NGANMARRIYANGA
0852,NGUKURR
0880,NHULUNBUY
0881,NHULUNBUY
0862,NICHOLSON
0810,NIGHTCLIFF
0814,NIGHTCLIFF
0852,NITJPURRU
0852,NITMILUK
0837,NOONAMAH
0822,NUMBULWAR
0822,NUMBURINDI
0852,NUTWOOD DOWNS
0872,NYIRRIPI
0822,OENPELLI
0830,PALMERSTON CITY
0831,PALMERSTON CITY
0862,PAMAYU
0872,PAPUNYA
0804,PARAP
0820,PARAP
0852,PELLEW ISLANDS
0822,PEPPIMENARTI
0872,PETERMANN
0847,PINE CREEK
0829,PINELANDS
0822,PIRLANGIMPI
0822,POINT STUART
0822,PULARUMPI
0822,RAKULA
0822,RAMINGINING
4825,RANKEN
0810,RAPID CREEK
0822,ROBIN FALLS
0852,ROBINSON RIVER
0832,ROSEBERY
0873,ROSS
0822,RUM JUNGLE
0870,SADADEEN
0872,SANDOVER
0822,SANDPALMS ROADHOUSE
0872,SANTA TERESA
0830,SHOAL BAY
0872,SIMPSON
0822,SOUTHPORT
0822,STAPLETON
0870,STUART
0820,STUART PARK
0852,STURT PLATEAU
0862,TABLELANDS
0872,TANAMI
0852,TANAMI EAST
0872,TARA
0872,TELEGRAPH STATION
0860,TENNANT CREEK
0861,TENNANT CREEK
0862,TENNANT CREEK
0822,THAMARRURR
0870,THE GAP
0820,THE GARDENS
0820,THE NARROWS
0872,TI TREE
0852,TIMBER CREEK
0853,TINDAL
0822,TIPPERARY
0872,TITJIKALA
0822,TIVENDALE
0810,TIWI
0822,TIWI ISLANDS
0852,TOP SPRINGS
0822,TORTILLA FLATS
0822,TUMBLING WATERS
0822,UMBAKUMBA
0874,UNDOOLYA
0852,URALLA
0852,VENN
0822,VERNON ISLANDS
0852,VICTORIA RIVER
0834,VIRGINIA
0822,WADEYE
0803,WAGAIT BEACH
0822,WAGAIT BEACH
0810,WAGAMAN
0822,WAK WAK
0872,WALLACE ROCKHOLE
0810,WANGURI
0822,WARRUWI
0852,WARUMUNGU
0822,WEDDELL
0822,WEST ARNHEM
0870,WHITE GUMS
0822,WICKHAM
0872,WILLOWRA
0872,WILORA
0852,WILTON
0820,WINNELLIE
0821,WINNELLIE
0822,WINNELLIE
0822,WISHART
0830,WOODROFFE
0820,WOOLNER
0852,WUGULARR
0812,WULAGI
0822,WURRUMIYANGA
0872,WUTUNUGURRA
0852,YARRALIN
0830,YARRAWONGA
0880,YIRRKALA
0872,YUELAMU
0872,YUENDUMU
0872,YULARA
0832,ZUCCOLI
