Postcode,Suburb
4613,ABBEYWOOD
4670,ABBOTSFORD
4627,ABERCORN
4850,ABERGOWRIE
4892,ABINGDON DOWNS
4660,ABINGTON
4110,ACACIA RIDGE
4401,ACLAND
4343,ADARE
4474,ADAVALE
4703,ADELAIDE PARK
4211,ADVANCETOWN
4870,AEROGLEN
4677,AGNES WATER
4807,AIRDMILLAN
4802,AIRLIE BEACH
4807,AIRVILLE
4814,AITKENVALE
4820,ALABAMA HILL
4035,ALBANY CREEK
4702,ALBERTA
4207,ALBERTON
4722,ALBINIA
4010,ALBION
4822,ALBION
4010,ALBION BC
4010,ALBION DC
4051,ALDERLEY
4650,ALDERSHOT
4694,ALDOGA
4740,ALEXANDRA
4572,ALEXANDRA HEADLAND
4161,ALEXANDRA HILLS
4115,ALGESTER
4610,ALICE CREEK
4817,ALICE RIVER
4370,ALLAN
4310,ALLANDALE
4700,ALLENSTOWN
4285,ALLENVIEW
4740,ALLIGATOR CREEK
4816,ALLIGATOR CREEK
4850,ALLINGHAM
4362,ALLORA
4670,ALLOWAY
4871,ALMADEN
4871,ALOOMBA
4724,ALPHA
4702,ALSACE
4702,ALTON DOWNS
4807,ALVA
4570,AMAMOOR
4570,AMAMOOR CREEK
4829,AMAROO
4871,AMBER
4306,AMBERLEY
4695,AMBROSE
4462,AMBY
4380,AMIENS
4183,AMITY
4183,AMITY POINT
4702,ANAKIE SIDING
4740,ANDERGROVE
4570,ANDERLEIGH
4800,ANDROMACHE
4355,ANDURAMBA
4814,ANNANDALE
4103,ANNERLEY
4070,ANSTEAD
4310,ANTHONY
4650,ANTIGUA
4660,APPLE TREE CREEK
4378,APPLETHORPE
4570,ARALUEN
4726,ARAMAC
4620,ARAMARA
4054,ARANA HILLS
4625,ARANBANGA
4309,ARATULA
4892,ARBOUIN
4819,ARCADIA
4454,ARCADIA VALLEY
4892,ARCHER RIVER
4108,ARCHERFIELD
4108,ARCHERFIELD BC
4702,ARCTURUS
4721,ARGYLL
4737,ARMSTRONG BEACH
4520,ARMSTRONG CREEK
4551,AROONA
4880,ARRIGA
4214,ARUNDEL
9781,ARUNDEL
4214,ARUNDEL DC
4007,ASCOT
4359,ASCOT
4670,ASHFIELD
4060,ASHGROVE
4060,ASHGROVE EAST
4214,ASHMORE
4214,ASHMORE CITY
4340,ASHWELL
4034,ASPLEY
4883,ATHERTON
4350,ATHOL
4311,ATKINSONS DAM
4401,AUBIGNY
4413,AUBURN
4066,AUCHENFLOWER
4477,AUGATHELLA
4300,AUGUSTINE HEIGHTS
4892,AURUKUN
4213,AUSTINVILLE
4215,AUSTRALIA FAIR
4670,AVENELL HEIGHTS
4670,AVOCA
4314,AVOCA VALE
4670,AVONDALE
4807,AYR
4895,AYTON
4861,BABINDA
4361,BACK PLAINS
4875,BADU ISLAND
4674,BAFFLE CREEK
4454,BAFFLE WEST
4207,BAHRS SCRUB
4699,BAJOOL
4470,BAKERS BEND
4740,BAKERS CREEK
4413,BAKING BOARD
4740,BALBERRA
4702,BALCOMBA
4036,BALD HILLS
4552,BALD KNOB
4816,BALGAL BEACH
4401,BALGOWAN
4741,BALL BAY
4382,BALLANDEAN
4352,BALLARD
4455,BALLAROO
4610,BALLOGIE
4171,BALMORAL
4552,BALMORAL RIDGE
4740,BALNAGOWAN
4876,BAMAGA
4850,BAMBAROO
4873,BAMBOO
4860,BAMBOO CREEK
4625,BAN BAN
4625,BAN BAN SPRINGS
4702,BANANA
4630,BANCROFT
4703,BANGALEE
4306,BANKS CREEK
