Postcode,Suburb
5159,ABERFOYLE PARK
5440,ABMINGA STATION
5000,ADELAIDE
5001,ADELAIDE
5801,ADELAIDE
5780,ADELAIDE AIRPORT
5950,ADELAIDE AIRPORT
5000,ADELAIDE BC
5558,AGERY
5311,ALAWOONA
5014,ALBERT PARK
5014,ALBERTON
5154,ALDGATE
5173,ALDINGA
5173,ALDINGA BEACH
5555,ALFORD
5723,ALLANDALE STATION
5009,ALLENBY GARDENS
5291,ALLENDALE EAST
5373,ALLENDALE NORTH
5401,ALMA
5730,ALPANA
5733,ALTON DOWNS STATION
5351,ALTONA
0872,AMATA
5222,AMERICAN BEACH
5221,AMERICAN RIVER
5431,AMYTON
5464,ANAMA
0872,ANANGU PITJANTJATJARA YANKUNYTJATJARA
5722,ANDAMOOKA
5722,ANDAMOOKA STATION
5454,ANDREWS
5114,ANDREWS FARM
5255,ANGAS PLAINS
5238,ANGAS VALLEY
5353,ANGASTON
5732,ANGEPENA
5010,ANGLE PARK
5117,ANGLE VALE
5730,ANGORIGINA
5723,ANNA CREEK
5356,ANNADALE
5222,ANTECHAMBER BAY
5237,APAMURRA
5413,APOINGA
5480,APPILA
5723,ARCKARINGA
5720,ARCOONA
5571,ARDROSSAN
5732,ARKAROOLA
5701,ARKAROOLA VILLAGE
5453,ARMAGH
5603,ARNO BAY
5572,ARTHURTON
5043,ASCOT PARK
5157,ASHBOURNE
5035,ASHFORD
5137,ASHTON
5259,ASHVILLE
5076,ATHELSTONE
5012,ATHOL PARK
5451,AUBURN
5072,AULDANA
5374,AUSTRALIA PLAINS
5273,AVENUE RANGE
5253,AVOCA DELL
5501,AVON
0872,AYERS RANGE SOUTH
5211,BACK VALLEY
5601,BACKY POINT
5373,BAGOT WELL
5671,BAIRD BAY
5354,BAKARA
5354,BAKARA WELL
5417,BALAH
5461,BALAKLAVA
5203,BALD HILLS
5417,BALDINA
5573,BALGOWAN
5242,BALHANNAH
5221,BALLAST HEAD
5268,BANGHAM
5481,BANGOR
5091,BANKSIA PARK
5460,BARABBA
5432,BARATTA
5453,BARINIA
5345,BARMERA
5641,BARNA
5434,BARNDIOOTA
5495,BAROOTA
5351,BAROSSA GOLDFIELDS
5520,BARUNGA GAP
5138,BASKET RANGE
5222,BAUDIN BEACH
5223,BAY OF SHOALS
5280,BEACHPORT
5320,BEATTY
5550,BEAUFORT
5066,BEAUMONT
5320,BEAUMONTS
5042,BEDFORD PARK
5523,BEETALOO VALLEY
5052,BELAIR
5491,BELALIE EAST
5491,BELALIE NORTH
5050,BELLEVUE HEIGHTS
5730,BELTANA
5730,BELTANA STATION
5432,BELTON
5255,BELVIDERE
5453,BENBOURNIE
5440,BENDA
5343,BERRI
5352,BETHANY
5373,BETHEL
5067,BEULAH PARK
5009,BEVERLEY
5118,BIBARINGA
5432,BIBLIANDO
5238,BIG BEND
5153,BIGGS FLAT
5720,BILLA KALINA
5440,BILLEROO WEST
5311,BILLIATT
5440,BIMBOWRIE
5440,BINDARRAH
5262,BINNUM
5223,BIRCHMORE
5234,BIRDWOOD
5015,BIRKENHEAD
5035,BLACK FOREST
5353,BLACK HILL
5434,BLACK HILL STATION
5571,BLACK POINT
5431,BLACK ROCK
5413,BLACK SPRINGS
5291,BLACKFELLOWS CAVES
