Postcode,Suburb
7315,ABBOTSHAM
7112,ABELS BAY
7310,ABERDEEN
7306,ACACIA HILLS
7320,ACTON
7170,ACTON PARK
7150,ADVENTURE BAY
7216,AKAROA
7263,ALBERTON
7330,ALCOMIE
7150,ALLENS RIVULET
7150,ALONNAH
7310,AMBLESIDE
7120,ANDOVER
7264,ANSONS BAY
7120,ANTILL PONDS
7150,APOLLO BAY
7190,APSLAWN
7030,APSLEY
7330,ARTHUR RIVER
7030,ARTHURS LAKE
7011,AUSTINS FERRY
7213,AVOCA
7120,BADEN
7270,BADGER HEAD
7030,BAGDAD
7307,BAKERS BEACH
7265,BANCA
7267,BANGOR
7150,BARNES BAY
7054,BARRETTA
7306,BARRINGTON
7004,BATTERY POINT
7270,BEACONSFIELD
7215,BEAUMARIS
7270,BEAUTY POINT
7252,BEECHFORD
7253,BELL BAY
7018,BELLERIVE
7254,BELLINGHAM
7212,BEN LOMOND
7011,BERRIEDALE
7306,BEULAH
7215,BICHENO
7216,BINALONG BAY
7162,BIRCHS BAY
7303,BIRRALEE
7301,BISHOPSBOURNE
7140,BLACK HILLS
7321,BLACK RIVER
7052,BLACKMANS BAY
7250,BLACKSTONE HEIGHTS
7275,BLACKWALL
7301,BLACKWOOD CREEK
7212,BLESSINGTON
7255,BLUE ROCKS
7260,BLUMONT
7321,BOAT HARBOUR
7321,BOAT HARBOUR BEACH
7053,BONNET HILL
7264,BOOBYALLA
7177,BOOMER BAY
7030,BOTHWELL
7140,BOYER
7302,BRACKNELL
7140,BRADYS LAKE
7304,BRANDUM
7261,BRANXHOLM
7258,BREADALBANE
7175,BREAM CREEK
7304,BREONA
7277,BRIDGENORTH
7030,BRIDGEWATER
7262,BRIDPORT
7030,BRIGHTON
7330,BRITTONS SWAMP
7030,BROADMARSH
7330,BROADMEADOWS
7140,BRONTE PARK
7320,BROOKLYN
7116,BROOKS BAY
7190,BUCKLAND
7256,BUNGAREE
7320,BURNIE
7212,BURNS CREEK
7140,BUSHY PARK
7140,BUTLERS GORGE
7116,CAIRNS BAY
7325,CALDER
7170,CAMBRIDGE
7320,CAMDALE
7316,CAMENA
7026,CAMPANIA
7210,CAMPBELL TOWN
7257,CAPE BARREN ISLAND
7182,CAPE PILLAR
7264,CAPE PORTLAND
7184,CAPE RAOUL
7173,CARLTON
7173,CARLTON RIVER
7291,CARRICK
7151,CASEY
7116,CASTLE FORBES BAY
7315,CASTRA
7304,CAVESIDE
7304,CENTRAL PLATEAU
7306,CETHANA
7215,CHAIN OF LAGOONS
7112,CHARLOTTE COVE
7321,CHASM CREEK
7011,CHIGWELL
7330,CHRISTMAS HILLS
7304,CHUDLEIGH
7011,CLAREMONT
7270,CLARENCE POINT
7019,CLARENDON VALE
7306,CLAUDE ROAD
7211,CLEVELAND
7020,CLIFTON BEACH
7303,CLUAN
7027,COLEBROOK
7215,COLES BAY
7012,COLLINSVALE
7211,CONARA
7054,CONINGHAM
7173,CONNELLYS MARSH
7320,COOEE
7174,COPPING
7321,CORINNA
7215,CORNWALL
7330,COUTA ROCKS
7321,COWRIE POINT
7109,CRABTREE
7306,CRADLE MOUNTAIN
7109,CRADOC
7030,CRAMPS BAY
7190,CRANBROOK
7321,CRAYFISH CREEK
7024,CREMORNE
7302,CRESSY
7260,CUCKOO
7316,CUPRONA
7256,CURRIE
7112,CYGNET
7304,DAIRY PLAINS
7151,DAVIS
7212,DEDDINGTON
7140,DEE
7112,DEEP BAY
7304,DELORAINE
7150,DENNES POINT
7264,DERBY
7140,DERWENT BRIDGE
7009,DERWENT PARK
7321,DETENTION
7275,DEVIOT
7300,DEVON HILLS
7310,DEVONPORT
7252,DILSTON
7304,DOCTORS POINT
7325,DOCTORS ROCKS
7173,DODGES FERRY
7190,DOLPHIN SANDS
7310,DON
7215,DOUGLAS RIVER
7215,DOUGLAS-APSLEY
7117,DOVER
7320,DOWNLANDS
7010,DOWSING POINT
7030,DROMEDARY
7025,DULCOT
7177,DUNALLEY
7304,DUNORLAN
7005,DYNNYRNE
7030,DYSART
7179,EAGLEHAWK NECK
7321,EAST CAM
7310,EAST DEVONPORT
7250,EAST LAUNCESTON
7321,EAST RIDGLEY
7264,EDDYSTONE
7321,EDGCUMBE BEACH
7330,EDITH CREEK
7256,EGG LAGOON
7112,EGGS AND BACON BAY
7030,ELDERSLIE
7054,ELECTRONA
7304,ELIZABETH TOWN
7140,ELLENDALE
7325,ELLIOTT
7255,EMITA
7320,EMU HEIGHTS
7211,EPPING FOREST
7310,ERRIBA
7310,EUGENANA
7212,EVANDALE
7275,EXETER
7303,EXTON
7215,FALMOUTH
7140,FENTONBURY
7054,FERN TREE
7214,FINGAL
7140,FITZGERALD
7030,FLINTSTONE
7140,FLORENTINE
7325,FLOWERDALE
7163,FLOWERPOT
7270,FLOWERY GULLY
7173,FORCETT
7330,FOREST
7260,FORESTER
7182,FORTESCUE
7310,FORTH
7310,FORTHSIDE
7215,FOUR MILE CREEK
7275,FRANKFORD
7113,FRANKLIN
7215,FREYCINET
7215,FRIENDLY BEACHES
7030,GAGEBROOK
7112,GARDEN ISLAND CREEK
7112,GARDNERS BAY
7315,GAWLER
7116,GEEVESTON
7015,GEILSTON BAY
7253,GEORGE TOWN
7264,GLADSTONE
7109,GLAZIERS BAY
7000,GLEBE
7109,GLEN HUON
7109,GLENDEVIE
7140,GLENFERN
7275,GLENGARRY
7012,GLENLUSK
7140,GLENORA
7010,GLENORCHY
