Postcode,Suburb
3737,ABBEYARD
3067,ABBOTSFORD
8006,ABECKETT STREET
3040,ABERFELDIE
3825,ABERFELDY
3714,ACHERON
3833,ADA
3984,ADAMS ESTATE
3352,ADDINGTON
3465,ADELAIDE LEAD
3962,AGNES
3336,AINTREE
3237,AIRE VALLEY
3231,AIREYS INLET
3851,AIRLY
3042,AIRPORT WEST
3424,ALBACUTYA
3021,ALBANVALE
3206,ALBERT PARK
3971,ALBERTON
3971,ALBERTON WEST
3020,ALBION
3714,ALEXANDRA
3350,ALFREDTON
3823,ALLAMBEE
3871,ALLAMBEE RESERVE
3871,ALLAMBEE SOUTH
3691,ALLANS FLAT
3277,ALLANSFORD
3364,ALLENDALE
3305,ALLESTREE
3465,ALMA
3727,ALMONDS
3979,ALMURTA
3078,ALPHINGTON
3018,ALTONA
3025,ALTONA EAST
3025,ALTONA GATE
3028,ALTONA MEADOWS
3025,ALTONA NORTH
3249,ALVIE
3371,AMHERST
3825,AMOR
3468,AMPHITHEATRE
3213,ANAKIE
3715,ANCONA
3995,ANDERSON
3898,ANGLERS REST
3230,ANGLESEA
3549,ANNUELLO
3414,ANTWERP
3233,APOLLO BAY
3579,APPIN
3579,APPIN SOUTH
3319,APSLEY
3409,ARAPILES
3377,ARARAT
3951,ARAWATA
3858,ARBUCKLE
3631,ARCADIA
3631,ARCADIA SOUTH
3475,ARCHDALE
3475,ARCHDALE JUNCTION
3723,ARCHERTON
3995,ARCHIES CREEK
3022,ARDEER
3629,ARDMONA
3480,AREEGRA
3523,ARGYLE
3143,ARMADALE
3143,ARMADALE NORTH
3377,ARMSTRONG
3217,ARMSTRONG CREEK
3551,ARNOLD
3551,ARNOLD WEST
3099,ARTHURS CREEK
3936,ARTHURS SEAT
3364,ASCOT
3551,ASCOT
3032,ASCOT VALE
3442,ASHBOURNE
3147,ASHBURTON
3147,ASHWOOD
3195,ASPENDALE
3195,ASPENDALE GARDENS
3818,ATHLONE
3049,ATTWOOD
3393,AUBREY
3123,AUBURN
3122,AUBURN SOUTH
3570,AUCHMORE
3212,AVALON
3664,AVENEL
3467,AVOCA
3477,AVON PLAINS
3034,AVONDALE HEIGHTS
3559,AVONMORE
3782,AVONSLEIGH
3551,AXE CREEK
3551,AXEDALE
3268,AYRFORD
3340,BACCHUS MARSH
3670,BADDAGINNIE
3777,BADGER CREEK
3579,BAEL BAEL
3551,BAGSHOT
3551,BAGSHOT NORTH
3312,BAHGALLAH
3608,BAILIESTON
3875,BAIRNSDALE
3350,BAKERY HILL
3354,BAKERY HILL
3183,BALACLAVA
3364,BALD HILLS
3249,BALINTORE
3342,BALLAN
3279,BALLANGEICH
3483,BALLAPUR
3350,BALLARAT
3353,BALLARAT
3350,BALLARAT CENTRAL
3350,BALLARAT EAST
3354,BALLARAT MC
3350,BALLARAT NORTH
3350,BALLARAT WEST
3561,BALLENDELLA
3340,BALLIANG
3340,BALLIANG EAST
3375,BALLYROGAN
3666,BALMATTUM
3407,BALMORAL
3926,BALNARRING
3926,BALNARRING BEACH
3971,BALOOK
3103,BALWYN
3103,BALWYN EAST
3104,BALWYN NORTH
3561,BAMAWM
3564,BAMAWM EXTENSION
3241,BAMBRA
3333,BAMGANIE
3691,BANDIANA
3694,BANDIANA MILPO
3393,BANGERANG
3175,BANGHOLME
3875,BANKSIA PENINSULA
3549,BANNERTON
3331,BANNOCKBURN
3485,BANYAN
3388,BANYENA
3084,BANYULE
3691,BARANDUDA
3220,BAREENA
3444,BARFOLD
3463,BARINGHUP
3463,BARINGHUP WEST
3723,BARJARG
3451,BARKERS CREEK
3384,BARKLY
3364,BARKSTEAD
3639,BARMAH
3557,BARNADOWN
3688,BARNAWARTHA
3691,BARNAWARTHA NORTH
3871,BAROMI
3249,BARONGAROOK
3249,BARONGAROOK WEST
3221,BARRABOOL
3525,BARRAKEE
3249,BARRAMUNGA
3537,BARRAPORT
3537,BARRAPORT WEST
3458,BARRYS REEF
3329,BARUNAH PARK
3329,BARUNAH PLAINS
3737,BARWIDGEE
3722,BARWITE
3243,BARWON DOWNS
3227,BARWON HEADS
3460,BASALT
3991,BASS
3213,BATESFORD
3730,BATHUMI
3058,BATMAN
3833,BAW BAW
3833,BAW BAW VILLAGE
3911,BAXTER
3375,BAYINDEEN
3981,BAYLES
3444,BAYNTON
3444,BAYNTON EAST
3153,BAYSWATER
8784,BAYSWATER
3153,BAYSWATER NORTH
3807,BEACONSFIELD
3808,BEACONSFIELD UPPER
3475,BEALIBA
3641,BEARII
3517,BEARS LAGOON
3579,BEAUCHAMP
3373,BEAUFORT
3193,BEAUMARIS
3477,BEAZLEYS BRIDGE
3135,BEDFORD ROAD
3251,BEEAC
3237,BEECH FOREST
3747,BEECHWORTH
3139,BEENAK
3160,BELGRAVE
3160,BELGRAVE HEIGHTS
3160,BELGRAVE SOUTH
3215,BELL PARK
3215,BELL POST HILL
3223,BELLARINE
3889,BELLBIRD CREEK
3228,BELLBRAE
3691,BELLBRIDGE
3381,BELLELLEN
3081,BELLFIELD
3381,BELLFIELD
3228,BELLS BEACH
3216,BELMONT
3889,BEMM RIVER
3946,BENA
3671,BENALLA
3672,BENALLA
3900,BENAMBRA
3319,BENAYEO
3097,BEND OF ISLANDS
3550,BENDIGO
3552,BENDIGO
3554,BENDIGO DC
3551,BENDIGO FORWARD
3550,BENDIGO SOUTH
3888,BENDOC
3875,BENGWORDEN
3579,BENJEROOP
3435,BENLOCH
3125,BENNETTSWOOD
3960,BENNISON
3204,BENTLEIGH
3165,BENTLEIGH EAST
3235,BENWERRIN
3342,BEREMBOKE
3518,BERRIMAL
3351,BERRINGA
3691,BERRINGAMA
3531,BERRIWILLOCK
3323,BERRYBANK
3953,BERRYS CREEK
3806,BERWICK
3304,BESSIEBELLE
3472,BET BET
3888,BETE BOLONG
3888,BETE BOLONG NORTH
3691,BETHANGA
3472,BETLEY
3395,BEULAH
3590,BEVERFORD
3753,BEVERIDGE
3490,BIG DESERT
3231,BIG HILL
3555,BIG HILL
3799,BIG PATS CREEK
3707,BIGGARA
3858,BILLABONG
3533,BIMBOURIE
3896,BINDI
3966,BINGINWARRI
3898,BINGO MUNJIE
3483,BIRCHIP
3483,BIRCHIP WEST
3505,BIRDWOODTON
3242,BIRREGURRA
3918,BITTERN
3350,BLACK HILL
3381,BLACK RANGE
3193,BLACK ROCK
3193,BLACK ROCK NORTH
3130,BLACKBURN
3130,BLACKBURN NORTH
3130,BLACKBURN SOUTH
3401,BLACKHEATH
3844,BLACKWARRY
3458,BLACKWOOD
3992,BLACKWOOD FOREST
3942,BLAIRGOWRIE
3342,BLAKEVILLE
3364,BLAMPIED
3980,BLIND BIGHT
3352,BLOWHARD
3351,BO PEEP
3678,BOBINAWARRAH
3301,BOCHARA
3699,BOGONG
3669,BOHO
3669,BOHO SOUTH
3531,BOIGBEAT
3490,BOINKA
3860,BOISDALE
3387,BOLANGUM
3432,BOLINDA
3546,BOLTON
3305,BOLWARRA
3352,BOLWARRAH
3820,BONA VISTA
3888,BONANG
3196,BONBEACH
3691,BONEGILLA
3939,BONEO
3561,BONN
3335,BONNIE BROOK
3720,BONNIE DOON
3352,BONSHAW
3260,BOOKAAR
3825,BOOLA
3960,BOOLARONG
3870,BOOLARRA
3870,BOOLARRA SOUTH
3880,BOOLE POOLE
3392,BOOLITE
3728,BOOMAHNOOMOONAH
3235,BOONAH
3163,BOORAN ROAD PO
3265,BOORCAN
3678,BOORHAMAN
3678,BOORHAMAN EAST
3685,BOORHAMAN NORTH
3723,BOOROLITE
3953,BOOROOL
3537,BOORT
3730,BOOSEY
3682,BORALMA
3379,BORNES HILL
3155,BORONIA
3518,BORUNG
3260,BOSTOCKS CREEK
3977,BOTANIC RIDGE
3599,BOUNDARY BEND
3465,BOWENVALE
3675,BOWEYA
3675,BOWEYA NORTH
3735,BOWMANS FOREST
3678,BOWSER
3128,BOX HILL
3129,BOX HILL NORTH
3128,BOX HILL SOUTH
3725,BOXWOOD
3463,BRADFORD
3361,BRADVALE
3195,BRAESIDE
3631,BRANDITT
3150,BRANDON PARK
3821,BRANDY CREEK
3302,BRANXHOLME
3821,BRAVINGTON
3019,BRAYBROOK
3303,BREAKAWAY CREEK
3219,BREAKWATER
3227,BREAMLEA
3517,BRENANAH
3131,BRENTFORD SQUARE
3352,BREWSTER
