Postcode,Suburb
6280,ABBA RIVER
6280,ABBEY
6280,ACTON PARK
6375,ADAMSVALE
6532,AJANA
6330,ALBANY
6331,ALBANY DC
6332,ALBANY PO
6306,ALDERSYDE
6064,ALEXANDER HEIGHTS
6288,ALEXANDRA BRIDGE
6154,ALFRED COVE
6038,ALKIMOS
6525,ALLANOOKA
6225,ALLANSON
6535,ALMA
6632,AMBANIA
6280,AMBERGATE
6338,AMELUP
6642,ANGELO RIVER
6167,ANKETELL
6280,ANNIEBROOK
6714,ANTONYMYRE
6153,APPLECROSS
6953,APPLECROSS
6153,APPLECROSS NORTH
6419,ARDATH
6153,ARDROSS
6239,ARGYLE
6112,ARMADALE
6992,ARMADALE
6519,ARRINO
6525,ARROWSMITH
6519,ARROWSMITH EAST
6315,ARTHUR RIVER
6104,ASCOT
6065,ASHBY
6111,ASHENDON
6054,ASHFIELD
6156,ATTADALE
6164,ATWELL
6164,AUBIN GROVE
6290,AUGUSTA
6233,AUSTRALIND
6069,AVELEY
6084,AVON VALLEY NATIONAL PARK
6412,BAANDEE
6428,BABAKIN
6701,BABBAGE ISLAND
6317,BADGEBUP
6475,BADGERIN ROCK
6302,BADGIN
6521,BADGINGARRA
6383,BADJALING
6082,BAILUP
6562,BAKERS HILL
6258,BALBARRUP
6021,BALCATTA
6914,BALCATTA
6171,BALDIVIS
6061,BALGA
6253,BALINGUP
6383,BALKULING
6714,BALLA BALLA
6302,BALLADONG
6443,BALLADONIA
6066,BALLAJURA
6315,BALLAYING
6606,BALLIDU
6304,BALLY BALLY
6503,BAMBUN
6450,BANDY CREEK
6440,BANDYA
6164,BANJUP
6031,BANKSIA GROVE
6213,BANKSIADALE
6390,BANNISTER
6479,BARBALIN
6510,BARBERTON
6275,BARRABUP
6209,BARRAGUP
6712,BARROW ISLAND
6056,BASKERVILLE
6054,BASSENDEAN
6934,BASSENDEAN
6942,BASSENDEAN DC
6150,BATEMAN
6284,BAUDIN
6714,BAYNTON
6330,BAYONET HEAD
6053,BAYSWATER
6933,BAYSWATER
6530,BEACHLANDS
6472,BEACON
6162,BEACONSFIELD
6440,BEADELL
6394,BEAUFORT RIVER
6450,BEAUMONT
6107,BECKENHAM
6052,BEDFORD
6112,BEDFORDALE
6063,BEECHBORO
6556,BEECHINA
6260,BEEDELUP
6224,BEELA
6239,BEELERUP
6164,BEELIAR
6353,BEENONG
6503,BEERMULLAH
6566,BEJOORDING
6027,BELDON
6069,BELHUS
6056,BELLEVUE
6104,BELMONT
6984,BELMONT
6477,BENCUBBIN
6223,BENGER
6463,BENJABERRING
6255,BENJINUP
6063,BENNETT SPRINGS
6102,BENTLEY
6982,BENTLEY
6102,BENTLEY DC
6983,BENTLEY DC
6102,BENTLEY SOUTH
6530,BERESFORD
6510,BERKSHIRE VALLEY
6701,BERNIER ISLAND
6167,BERTRAM
6304,BEVERLEY
6163,BIBRA LAKE
6965,BIBRA LAKE
6076,BICKLEY
6157,BICTON
6260,BIDDELIA
6330,BIG GROVE
6375,BILBARIN
6725,BILINGURR
6472,BIMBIJY
6574,BINDI BINDI
6502,BINDOON
6502,BINDOON TRAINING AREA
6430,BINDULI
6233,BINNINGUP
6532,BINNU
6214,BIRCHMONT
6530,BLUFF POINT
6208,BLYTHEWOOD
6280,BOALLIA
6320,BOBALONG
6424,BODALLIN
6390,BODDINGTON
6394,BOILUP
6392,BOKAL
6568,BOLGART
6479,BONNIE ROCK
6525,BONNIEFIELD
6722,BOODARIE
6423,BOODAROCKIN
6525,BOOKARA
6503,BOONANARRING
6429,BOORABBIN
6154,BOORAGOON
6954,BOORAGOON
6475,BOORALAMING
6431,BOORARA
6262,BOORARA BROOK
6532,BOOTENAL
6521,BOOTHENDARRA
6286,BORANUP
6338,BORDEN
6320,BORDERDALE
6330,BORNHOLM
6394,BOSCABEL
6432,BOULDER
6312,BOUNDAIN
6211,BOUVARD
6280,BOVELL
6333,BOW BRIDGE
6225,BOWELLING
6535,BOWES
6623,BOWGADA
6338,BOXWOOD HILL
6056,BOYA
6237,BOYANUP
6450,BOYATUP
6316,BOYERINE
6244,BOYUP BROOK
6055,BRABHAM
6285,BRAMLEY
6251,BRAZIER
6503,BREERA
6338,BREMER BAY
6153,BRENTWOOD
6043,BRETON BAY
6255,BRIDGETOWN
6069,BRIGADOON
6532,BRINGO
6280,BROADWATER
6009,BROADWAY NEDLANDS
6430,BROADWOOD
6701,BROCKMAN
6398,BROKE
6112,BROOKDALE
6239,BROOKHAMPTON
6306,BROOKTON
6725,BROOME
6318,BROOMEHILL
6318,BROOMEHILL EAST
6318,BROOMEHILL VILLAGE
6318,BROOMEHILL WEST
6431,BROWN HILL
6701,BROWN RANGE
6418,BRUCE ROCK
6224,BRUNSWICK
6225,BUCKINGHAM
6401,BUCKLAND
6714,BULGARRA
6149,BULL CREEK
6429,BULLABULLING
6373,BULLARING
6532,BULLER
6484,BULLFINCH
6350,BULLOCK HILLS
6084,BULLSBROOK
6431,BULONG
6306,BULYEE
6230,BUNBURY
6231,BUNBURY
6522,BUNDANOON
6353,BUNICHE
6620,BUNJIL
6613,BUNTINE
6467,BURAKIN
6452,BURAMINYA
6227,BUREKUP
6302,BURGES
6401,BURLONG
6532,BURMA ROAD
6028,BURNS BEACH
6285,BURNSIDE
6421,BURRACOPPIN
6490,BURRAN ROCK
6714,BURRUP
6100,BURSWOOD
6055,BUSHMEAD
6280,BUSSELTON
6036,BUTLER
6122,BYFORD
6726,CABLE BEACH
6466,CADOUX
6443,CAIGUNA
6569,CALINGIRI
6167,CALISTA
6302,CALJIE
6260,CALLCUP
6728,CAMBALLIN
6743,CAMBRIDGE GULF
6111,CAMILLO
6315,CANCANNING
6710,CANE
6627,CANNA
6153,CANNING BRIDGE APPLECROSS
6111,CANNING MILLS
6155,CANNING VALE
6155,CANNING VALE DC
6970,CANNING VALE DC
6155,CANNING VALE SOUTH
6107,CANNINGTON
6987,CANNINGTON
6452,CAPE ARID
6532,CAPE BURNEY
6450,CAPE LE GRAND
6707,CAPE RANGE NATIONAL PARK
6271,CAPEL
6271,CAPEL RIVER
6642,CAPRICORN
6041,CARABAN
6033,CARABOODA
6569,CARANI
6701,CARBLA
6280,CARBUNUP RIVER
6225,CARDIFF
6122,CARDUP
6230,CAREY PARK
6020,CARINE
6101,CARLISLE
6101,CARLISLE NORTH
6275,CARLOTTA
6076,CARMEL
6517,CARNAMAH
6701,CARNARVON
6423,CARRABIN
6031,CARRAMAR
6532,CARRARANG
6317,CARROLUP
6316,CARTMETICUP
6450,CASCADE
6450,CASTLETOWN
6167,CASUARINA
6507,CATABY
6255,CATTERICK
6055,CAVERSHAM
6330,CENTENNIAL PARK
6511,CERVANTES
6450,CHADWICK
6111,CHAMPION LAKES
6490,CHANDLER
6394,CHANGERUP
6260,CHANNYBEARUP
6280,CHAPMAN HILL
6239,CHARLEY CREEK
6395,CHERRY TREE POOL
6328,CHEYNES
6751,CHICHESTER
6556,CHIDLOW
6084,CHITTERING
6244,CHOWERUP
6798,CHRISTMAS ISLAND
6018,CHURCHLANDS
6015,CITY BEACH
6000,CITY DELIVERY CENTRE
6564,CLACKLINE
6010,CLAREMONT
6910,CLAREMONT
6010,CLAREMONT NORTH
6030,CLARKSON
6472,CLEARY
6714,CLEAVERVILLE
6211,CLIFTON
6850,CLOISTERS SQUARE PO
6105,CLOVERDALE
6985,CLOVERDALE
6317,COBLININE
6532,COBURN
6731,COCKATOO ISLAND
6164,COCKBURN CENTRAL
6443,COCKLEBIDDY
6308,CODJATOTINE
6302,COLD HARBOUR
6315,COLLANILLING
6230,COLLEGE GROVE
6225,COLLIE
6225,COLLIE BURN
6330,COLLINGWOOD HEIGHTS
6330,COLLINGWOOD PARK
6260,COLLINS
6311,COMMODINE
6152,COMO
6952,COMO
6450,CONDINGUP
6027,CONNOLLY
6311,CONTINE
6210,COODANUP
6166,COOGEE
6219,COOKERNUP
6638,COOLADAR HILL
6163,COOLBELLUP
6050,COOLBINIA
6532,COOLCALALAYA
6429,COOLGARDIE
6507,COOLJARLOO
6168,COOLOONGUP
6214,COOLUP
6450,COOMALBIDGUP
6512,COOMBERDALE
6503,COONABIDGEE
6566,COONDLE
6515,COOROW
6714,COOYA POOYA
6562,COPLEY
6701,CORAL BAY
6426,CORINTHIA
6375,CORRIGIN
6440,COSMO NEWBERY
6720,COSSACK
6011,COTTESLOE
6911,COTTESLOE
6288,COURTENAY
6336,COWALELLUP
6503,COWALLA
6284,COWARAMUP
6485,COWCOWING
6317,COYRECUP
6025,CRAIGIE
6420,CRAMPHORNE
6321,CRANBROOK
6009,CRAWLEY
6236,CROOKED BROOK
6390,CROSSMAN
6262,CROWEA
6311,CUBALLING
6383,CUBBINE
6640,CUE
6566,CULHAM
6067,CULLACABARDEE
6503,CULLALLA
6434,CUNDEELEE
6407,CUNDERDIN
6275,CUNDINUP
6401,CUNJARDINE
6028,CURRAMBINE
6330,CUTHBERT
6410,DAADENNING CREEK
6638,DAGGAR HILLS
6008,DAGLISH
6304,DALE
6302,DALIAK
6009,DALKEITH
6609,DALWALLINU
6230,DALYELLUP
6450,DALYUP
6713,DAMPIER
6713,DAMPIER ARCHIPELAGO
6725,DAMPIER PENINSULA
6479,DANDANNING
6507,DANDARAGAN
6383,DANGIN
6065,DARCH
6392,DARDADINE
6236,DARDANUP
6236,DARDANUP WEST
6392,DARKAN
6122,DARLING DOWNS
6070,DARLINGTON
6275,DARRADUP
6532,DARTMOOR
6320,DARTNALL
6317,DATATINE
6230,DAVENPORT
6211,DAWESVILLE
6055,DAYTON
6722,DE GREY
6258,DEANMILL
6532,DEEPDALE
6290,DEEPDENE
6324,DENBARKER
6537,DENHAM
6333,DENMARK
6728,DERBY
6630,DEVILS CREEK
6567,DEWARS POOL
6258,DIAMOND TREE
6059,DIANELLA
6532,DINDILOA
6258,DINGUP
6244,DINNINUP
